List of Tickers,Year,Sales in Mn. Dollars
NOG,2017,209.3197
CMS,2017,6583
DAN,2017,7209
BIP,2017,3535
LNG,2017,5601
BTE,2017,865.591
ENPH,2017,286.166
IOSP,2017,1306.8
PPL,2017,7447
NEE,2017,17173
NEE,2017,17173
NEE,2017,17173
AWK,2017,3357
VVV,2017,2084
EPM,2017,34.4849
AMRC,2017,717.152
SND,2017,137.212
SEDG,2017,607.045
SHEL,2017,305179
WEC,2017,7648.5
MPC,2017,74733
CRK,2017,255.331
NOG,2017,209.3197
CNP,2017,9614
MPC,2017,74733
AWK,2017,3357
EXC,2017,33586
SUN,2017,11723
NRG,2017,9074
NWE,2017,1305.652
NWE,2017,1305.652
SND,2017,137.212
TT,2017,14197.6
TTE,2017,149099
OIS,2017,670.627
PTEN,2017,2356.684
TTI,2017,723.098
PR,2017,429.235
PEG,2017,9094
ORA,2017,692.812
WKC,2017,33695.5
D,2017,12586
AROC,2017,794.655
OIS,2016,694.444
CHRD,2016,826.642
GLW,2016,9390
NVAX,2016,15.353
SEI,2016,18.157
DUK,2016,22743
WKC,2016,27015.8
DK,2016,4197.9
UGI,2016,5685.7
NPKI,2016,471.496
VST,2016,5164
XIFR,2016,772
XOM,2016,200628
PEG,2016,9061
WKC,2016,27015.8
AMSC,2016,96.023
ITRI,2016,2013.186
ALE,2016,1339.7
PTEN,2016,915.866
MPLX,2016,3028
FET,2016,587.635
CPK,2016,498.86
NBR,2016,2227.839
D,2016,11737
CPK,2016,498.86
D,2016,11737
EXP,2016,1143.492
PWR,2016,7651.319
TDY,2016,2298.1
WTTR,2016,302.399
GTY,2016,115.271
VST,2016,5164
FET,2016,587.635
HAL,2016,15887
NGL,2016,11742.11
SHEL,2016,233591
ALTO,2016,1624.758
EQT,2016,1913.338
OXY,2016,10090
KEX,2016,1770.673
USDP,2016,111.125
SHEL,2016,233591
DTE,2016,10630
LHX,2016,5992
CLH,2016,2755.226
ESE,2016,571.459
TDS,2016,5155
NVEE,2016,223.91
NVAX,2016,15.353
XIFR,2016,772
XOM,2016,200628
PR,2016,116.51
ETR,2016,10845.645
GPRE,2016,3410.881
CHRD,2016,826.642
D,2016,11737
CVE,2016,11159
AEP,2016,16380.1
TUSK,2016,230.625
TUSK,2016,230.625
EPD,2016,23022.3
NEXT,2016,0
BN,2016,24411
BN,2016,24411
EXTR,2016,528.389
FANG,2016,528.284
MPLX,2016,3028
SD,2016,392.265
MPLX,2016,3028
SR,2016,1537.3
EQT,2016,1913.338
OKE,2016,8920.934
WEC,2016,7472.3
ENB,2016,34560
ED,2016,12075
ED,2016,12075
XOM,2016,200628
DUK,2016,22743
FET,2016,587.635
BLDP,2016,85.27
AR,2016,3164.154
ORA,2016,662.591
ATO,2015,4142.136
CAT,2015,47011
FANG,2015,591.602
FCEL,2015,163.077
PTEN,2015,1891.277
BTE,2015,1077.544
BTE,2015,1077.544
PEG,2015,10415
ALE,2015,1486.4
SM,2015,1513.934
EMR,2015,16249
BKH,2015,1304.605
CCI,2015,3663.851
OXY,2015,12480
CNP,2015,7386
NEE,2015,17486
EQT,2015,2125.729
EQT,2015,2125.729
OII,2015,3062.754
SM,2015,1513.934
CHRD,2015,1160.145
SUN,2015,18460
SRE,2015,10231
TRP,2015,11300
DTE,2015,10337
NRG,2015,14674
PTEN,2015,1891.277
TTE,2015,159197.4007
DUK,2015,22371
ENB,2015,33794
EOG,2015,9434.416
CVX,2015,122566
SHEL,2015,264960
SHEL,2015,264960
EXC,2015,29447
SM,2015,1513.934
TSLA,2015,4046.025
RIG,2015,7386
AR,2015,2429.929
EXC,2015,29447
DUK,2015,22371
FANG,2015,591.602
VLO,2015,81824
XIFR,2015,495
VRN,2015,3006.9
MDU,2015,4014.052
EPD,2015,27027.9
RBA,2015,515.875
SUN,2015,18460
NEE,2015,17486
BLK,2015,11401
PWR,2015,7572.436
AR,2015,2429.929
EVRG,2015,#N/A N/A
RRC,2015,1713.826
EQT,2015,2125.729
DUK,2015,22371
EXC,2015,29447
DNOW,2015,3010
SU,2015,29208
SUN,2015,18460
SUN,2015,18460
XEL,2015,11024
DUK,2015,22371
MFC,2015,32815
TRP,2015,11300
MPLX,2015,961
EIX,2015,11524
EIX,2015,11524
SU,2015,29208
CLH,2015,3275.137
PEG,2015,10415
D,2015,11683
CNP,2015,7386
ENB,2015,33794
MUR,2015,2787.116
EXC,2015,29447
ED,2015,12554
HON,2015,38581
MDU,2015,4014.052
EIX,2014,13413
HE,2014,3239.542
HEI,2014,1132.311
DNOW,2014,4105
EQNR,2014,96542.3833
DVN,2014,17632
ALE,2014,1136.8
SUN,2014,10317.548
D,2014,12436
GTE,2014,559.398
TRMB,2014,2288.124
DUK,2014,22509
DUK,2014,22509
USDP,2014,36.098
TRP,2014,10185
SU,2014,39862
XIFR,2014,356
SUN,2014,10317.548
BLK,2014,11081
NEE,2014,17021
ED,2014,12919
DUK,2014,22509
PEG,2014,10886
SUN,2014,10317.548
ACN,2014,31874.678
DNOW,2014,4105
NEE,2014,17021
DUK,2014,22509
SUN,2014,10317.548
KMI,2014,16226
BKH,2014,1393.57
DUK,2014,22509
SU,2014,39862
VRN,2014,3355.123
DNOW,2014,4105
PEG,2014,10886
BLDP,2014,68.721
AWK,2014,3011
DUK,2014,22509
EXC,2014,27429
DUK,2014,22509
CVE,2014,19708
EPD,2014,47951.2
VRN,2014,3355.123
ED,2014,12919
ALE,2014,1136.8
DUK,2014,22509
XIFR,2014,356
SRE,2014,11035
ALE,2014,1136.8
D,2014,12436
SUN,2014,10317.548
BLK,2014,11081
DUK,2014,22509
OII,2014,3659.624
ALE,2014,1136.8
KMI,2014,16226
EXC,2014,27429
OIS,2014,1819.609
TRP,2013,8797
PEG,2013,9968
RSG,2013,8417.2
DUK,2013,22756
ALE,2013,1018.4
D,2013,13120
ETR,2013,11390.947
ENB,2013,32918
PWR,2013,6411.577
JLL,2013,4461.591
DTE,2013,9661
FCN,2013,1652.432
SM,2013,2265.4
WOR,2013,2612.244
BKH,2013,1275.852
NRP,2013,323.931
SPB,2013,5543.4
TRP,2013,8797
DOV,2013,7155.096
DD,2013,#N/A N/A
NRG,2013,11295
FCX,2013,20921
CTRA,2013,1746.278
OVV,2013,5858
SUN,2013,4492.579
SUN,2013,4492.579
ENB,2013,32918
CTRA,2013,1746.278
PTEN,2013,2716.034
JEF,2013,10261.227
D,2013,13120
ECL,2013,13253.4
VRN,2013,2791.337
LMT,2013,45358
TT,2013,12350.5
NRG,2013,11295
PEG,2013,9968
VRN,2013,2791.337
EXC,2013,24888
SM,2013,2265.4
DUK,2013,22756
PEG,2013,9968
FANG,2013,200.784
TXNM,2013,1387.923
EXC,2013,24888
PEG,2013,9968
WEC,2013,4519
PSX,2013,157730
OII,2013,3287.019
VRN,2013,2791.337
PTEN,2013,2716.034
PSX,2013,157730
OII,2013,3287.019
MPC,2013,93897
FCX,2013,20921
OVV,2013,5858
DVN,2013,10783
EXC,2013,24888
BLDP,2013,61.251
VRN,2013,2791.337
JCI,2013,10058
NRG,2013,11295
VLO,2013,132615
EQNR,2013,104979.6193
EXC,2013,24888
NRG,2013,11295
