Deal Announce Date,Previous Year,Acquirer Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_10_Date,T_minus_10_Price,T_plus_10_Date,T_plus_10_Price,Market_Cap_AD_mil,ROA_percent,Acquirer_GHG_Emissions,Deal Status
06-09-2023,2022,ENB,Enbridge Inc,Public Service Co of North Carolina Inc,Dominion Energy Inc,3200,13.54,25-08-2023,32.1,18-09-2023,32.68,67520.62,0.27,7717086.429,Completed
06-09-2023,2022,ENB,Enbridge Inc,Questar Gas Co,Dominion Energy Inc,,,25-08-2023,32.1,18-09-2023,32.68,67520.62,0.27,7717086.429,Completed
05-09-2023,2022,ENB,Enbridge Inc,East Ohio Gas Co/The,Dominion Energy Inc,6600,,25-08-2023,32.1,15-09-2023,32.74,71749.57,0.27,7717086.429,Completed
05-09-2023,2022,WES,Western Midstream Partners LP,Meritage Midstream Services II LLC,Riverstone Holdings LLC,885,,25-08-2023,23.47,15-09-2023,22.78,8972.73,2.54,536383.0796,Completed
23-08-2023,2022,FSV,FirstService Corp,Case Restoration Inc,,,,11-08-2023,153.62,05-09-2023,149.78,6611.38,0.77,42324.019,Completed
22-08-2023,2022,EQT,EQT Corp,"THQ Appalachia I LLC,THQ-XcL Holdings I Midco LLC",Quantum Energy Partners LLC,4498.28,,11-08-2023,42.01,01-09-2023,43.15,25301.57,1.05,227981.253,Completed
21-08-2023,2022,PR,Permian Resources Corp,Earthstone Energy Inc,,2809.78,2.21,10-08-2023,11.41,31-08-2023,13.42,8779.05,1.28,785931.983,Completed
21-08-2023,2022,SPRU,Spruce Power Holding Corp,Portfolio of 2400 residential solar systems/California,,,,10-08-2023,7.6,31-08-2023,6.33,111.62,-6.63,108.615,Completed
16-08-2023,2022,ET,Energy Transfer LP,Crestwood Equity Partners LP,,6127.67,10.85,04-08-2023,11.04,28-08-2023,11.89,38858.65,0.86,16765.405,Completed
16-08-2023,2022,DINO,HF Sinclair Corp,Holly Energy Partners LP,,3748.21,13.04,04-08-2023,51.94,28-08-2023,53.81,10171.74,-1.28,8525000,Completed
