Deal Announce Date,Previous Year,Acquirer Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_10_Date,T_minus_10_Price,T_plus_10_Date,T_plus_10_Price,Market_Cap_AD_mil,ROA_percent,Acquirer_GHG_Emissions,Deal Status
01-06-2022,2021,MYE,Myers Industries Inc,Mohawk Rubber Sales of NE Inc,ISO New England Inc,27.8,,20-05-2022,20.8,13-06-2022,21.4,851.12,-1.2,51316.826,Completed
31-05-2022,2021,SU,Suncor Energy Inc,White Rose asset,Cenovus Energy Inc,39.58,,20-05-2022,34.02,10-06-2022,37.25,44634.01,0.91,10848667.93,Completed
31-05-2022,2021,PROP,Prairie Operating Co,Certain energy assets/South Dakota,Highwire Energy Partners LLC,,,20-05-2022,17.94,10-06-2022,13.85,456.26,-10.66,301.2594448,Completed
26-05-2022,2021,FF,FutureFuel Corp,Cebolleta Uranium Project/Cibola County,Encore Energy Corp,92.72,,13-05-2022,4.38,06-06-2022,4.91,199.55,-0.47,33963.84172,Completed
19-05-2022,2021,PR,Permian Resources Corp,Colgate Energy Partners III LLC,,2612.61,,06-05-2022,7.46,31-05-2022,7.31,4490.86,1.28,412346.996,Completed
17-05-2022,2021,HLX,Helix Energy Solutions Group Inc,Alliance Offshore LLC,,120,,06-05-2022,4.34,27-05-2022,4.64,656.57,0.77,205000,Completed
16-05-2022,2021,FANG,Diamondback Energy Inc,Rattler Midstream LP,,1281.66,5.61,05-05-2022,118.33,26-05-2022,128.03,33228.01,1.6,1253208.511,Completed
05-05-2022,2021,CAT,Caterpillar Inc,Tangent Energy Solutions Inc,,,,22-04-2022,205.04,16-05-2022,196.41,97829.06,3.18,191752.6651,Completed
03-05-2022,2021,RDUS,Radius Recycling Inc,Operating assets/Encore Recycling LLC,Encore Recycling LLC,,,22-04-2022,47.05,13-05-2022,34.12,1135.78,-2.46,74231.027,Completed
28-04-2022,2021,HPK,HighPeak Energy Inc,Howard County assets,Hannathon Petroleum LLC,345.37,,14-04-2022,30.02,09-05-2022,26.23,3730.6,1.63,121707.359,Completed
27-04-2022,2021,CHX,ChampionX Corp,Leak Surveys Inc,,3.7,,14-04-2022,24.37,09-05-2022,19.61,3931.28,2.39,76396,Completed
26-04-2022,2021,ST,Sensata Technologies Holding PLC,Dynapower Co LLC,Pfingsten Partners LLC,580,,14-04-2022,45.65,06-05-2022,44.07,6554.04,-0.34,10328.077,Completed
20-04-2022,2021,BKR,Baker Hughes Co,Mosaic Materials Inc,"Baruch Future Ventures LLC,Unknown Seller,Evok Innovations Inc",,,08-04-2022,34.86,02-05-2022,28.71,32496.33,3.07,391346,Completed
19-04-2022,2021,ALE,ALLETE Inc,New Energy Equity,,165.5,,08-04-2022,56.68,29-04-2022,51.8,3225,0.75,1733893.461,Completed
11-04-2022,2021,SUN,Sunoco LP,Gladieux Energy LLC,,190,,31-03-2022,33.15,21-04-2022,34.19,4621.93,0.72,114567.0153,Completed
04-04-2022,2021,HPK,HighPeak Energy Inc,Oil & gas properties/Permian Basin,Alamo Frac Holdings LLC,201,,24-03-2022,21.1,14-04-2022,30.02,2816.91,1.63,121707.359,Completed
04-04-2022,2021,AMTX,Aemetis Inc,8.5 acre property/California,,2,,24-03-2022,11.22,14-04-2022,13.17,654.24,-7.25,55040.79,Completed
31-03-2022,2021,FCPT,Four Corners Property Trust Inc,Express Oil Change property,,1.5,,18-03-2022,22.68,11-04-2022,24.28,2332.75,0.99,2592.857,Completed
28-03-2022,2021,USDP,USD Partners LP,Hardisty South terminal assets/USD Group LLC,USD Group LLC,107.47,,17-03-2022,5.01,07-04-2022,5.52,176.63,-2.68,3519.146,Completed
18-03-2022,2021,ROAD,Construction Partners Inc,Asphalt & Sitework business/GAC Contractors Inc,GAC Contractors Inc,,,07-03-2022,25.83,28-03-2022,25.68,1206.01,-0.12,18720.008,Completed
17-03-2022,2021,TRGP,Targa Resources Corp,Southcross Energy Operating LLC,,200,,04-03-2022,65.17,28-03-2022,70.02,13826.59,1.54,7006559.465,Completed
15-03-2022,2021,ENPH,Enphase Energy Inc,SolarLeadFactory LLC,,,,04-03-2022,158.15,25-03-2022,193.81,21810.03,1.91,12095.162,Completed
08-03-2022,2021,SND,Smart Sand Inc,Hi-Crush Blair LLC,Hi-Crush Inc,6.5,,25-02-2022,3.07,18-03-2022,3.21,180.26,-0.03,11663.009,Completed
07-03-2022,2021,CHRD,Chord Energy Corp,Whiting Petroleum Corp,,3247,2.77,24-02-2022,88.46,17-03-2022,106.08,6389.3,1.62,1457753.145,Completed
03-03-2022,2021,ALE,ALLETE Inc,NEW Energy Equity LLC,"Unknown Seller,SmartPitch Ventures LLC",165.5,,18-02-2022,53.51,14-03-2022,57.03,3238.65,0.75,1733893.461,Completed
28-02-2022,2021,CVX,Chevron Corp,Renewable Energy Group Inc,,2769.66,8.87,17-02-2022,118.89,10-03-2022,152.01,225602.78,1.26,28582001.82,Completed
25-02-2022,2021,NVAX,NOV Inc,Advanced Drilling Solutions business/AFG Holdings Inc,AFG Holdings Inc,,,14-02-2022,80.11,07-03-2022,69.73,13129.7,-7.08,6696.684,Completed
23-02-2022,2021,BEEM,Beam Global,AllCell Technologies LLC,,13.67,,11-02-2022,13.21,07-03-2022,14.65,173,1.93,290.072,Completed
22-02-2022,2021,MTDR,Matador Resources Co,Producing & non-producing properties,,242,,11-02-2022,42.69,04-03-2022,51.64,5220.79,1.98,774427,Completed
16-02-2022,2021,HNRG,Hallador Energy Co,Merom generating station/Indiana,Hoosier Energy Rural Electric Cooperative Inc,,,04-02-2022,2.45,28-02-2022,3.43,138.51,0.27,650443.262,Completed
09-02-2022,2021,EPM,Evolution Petroleum Corp,Non-operated oil & natural gas assets/Sublette County,Exaro Energy III LLC,26.2,,28-01-2022,4.5,22-02-2022,5.73,160.01,-1.14,18081.276,Completed
01-02-2022,2021,CIVI,Civitas Resources Inc,Bison Oil & Gas II LLC,,345.42,,21-01-2022,37.6,11-02-2022,39.56,3833.23,1.01,1278400,Completed
25-01-2022,2021,EXE,Expand Energy Corp,Chief E&D Holdings LP,"Tug Hill Inc/Texas,Rees-Jones Foundation/The,Unknown Seller,Rees-Jones Family Holdings LP,Chief E&D GP LLC,Chief E&D Participants LP",2634.47,,14-01-2022,59.89,04-02-2022,56.09,13080.46,-1.43,621870.7777,Completed
20-01-2022,2021,EPM,Evolution Petroleum Corp,Non-operated oil & natural gas assets/Williston Basin,"Foundation Energy Management LLC,Unknown Seller",25.9,,07-01-2022,4.32,31-01-2022,4.63,150.35,-1.14,18081.276,Completed
20-01-2022,2021,HUT,Hut 8 Corp,Cloud & colocation data center business,TeraGo Inc,24.07,,07-01-2022,33.05,31-01-2022,29.7,2918.09,0.06,474.186,Completed
19-01-2022,2021,PLUG,Plug Power Inc,Joule Processing LLC,,30,,07-01-2022,24.96,31-01-2022,21.87,19607.33,-4.47,15963.06,Completed
18-01-2022,2021,ALTO,Alto Ingredients Inc,Eagle Alcohol Co LLC,,14,,07-01-2022,5.17,28-01-2022,4.98,400.09,-0.58,220296.783,Completed
13-01-2022,2021,DUK,Duke Energy Corp,3211 Shannon Rd/Durham,,,,31-12-2021,92.04,24-01-2022,90,70954.67,0.65,78000000,Completed
10-01-2022,2021,EPD,Enterprise Products Partners LP,Navitas Midstream Partners LLC,Warburg Pincus LLC,3250,,30-12-2021,17.11,20-01-2022,18.95,40265.94,1.89,1192.816,Completed
04-01-2022,2021,UGI,UGI Corp,Stonehenge Appalachia LLC,Stonehenge Energy Holdings LLC,190,,23-12-2021,38.99,14-01-2022,39.64,8420.85,2.43,820557,Completed
04-01-2022,2021,FELE,Franklin Electric Co Inc,Blake Group Holdings Inc,,27.1,,23-12-2021,88.57,14-01-2022,87.63,4193.9,1.85,23119.603,Completed
03-01-2022,2021,GRMN,Garmin Ltd,Vesper Marine Ltd,Pioneer Capital Partners,,,23-12-2021,124.9,13-01-2022,122.73,23864.62,4.52,148599.644,Completed
23-12-2021,2020,FCPT,Four Corners Property Trust Inc,2 Express Oil Change/Mississippi,,4.6,,10-12-2021,23.71,03-01-2022,24.98,2415.81,0.99,2298.444,Completed
21-12-2021,2020,ENPH,Enphase Energy Inc,365 Pronto Inc,,,,10-12-2021,215.02,31-12-2021,182.94,25037.02,1.91,26385.255,Completed
17-12-2021,2020,BOOM,DMC Global Inc,Arcadia Inc,,282.5,,06-12-2021,38.37,27-12-2021,40.62,781.13,-0.11,1390.458489,Completed
16-12-2021,2020,STEM,Stem Inc,Also Energy Inc,"Management Group,Clairvest Group Inc (Fund: Clairvest Equity Partners V LP)",695,,03-12-2021,17.77,27-12-2021,19.76,2960.5,-27.57,1564.761,Completed
16-12-2021,2020,ULBI,Ultralife Corp,Excell Battery Canada ULC,,16.45,,03-12-2021,5.11,27-12-2021,6.03,90.78,0.15,4135.837,Completed
16-12-2021,2020,ULBI,Ultralife Corp,656700 BC Ltd,,7.05,,03-12-2021,5.11,27-12-2021,6.03,90.78,0.15,4135.837,Completed
16-12-2021,2020,CPK,Chesapeake Utilities Corp,Operating Assets/Diversified Energy Co,Diversified Energy Co PLC,,,03-12-2021,123.99,27-12-2021,134.78,3041.19,1.02,266679,Completed
14-12-2021,2020,GTLS,Chart Industries Inc,Earthly Labs Inc,,62,,03-12-2021,162.94,27-12-2021,159.49,6735.04,0.73,17380,Completed
14-12-2021,2020,ULBI,Ultralife Corp,Excell Battery Group,,23.5,,03-12-2021,5.11,27-12-2021,6.03,88.12,0.15,4135.837,Completed
14-12-2021,2020,SHEL,Shell PLC,MS Europe BV,Multi Service Technology Solutions Inc,,,03-12-2021,38.75,27-12-2021,39.42,114040.31,1.09,31526463.37,Completed
13-12-2021,2020,WTTR,Select Water Solutions Inc,Nuverra Environmental Solutions Inc,,56.34,,02-12-2021,5.52,23-12-2021,5.84,604.83,-0.12,33176.646,Completed
13-12-2021,2020,TXNM,TXNM Energy Inc,Western Spirit transmission line,,,,02-12-2021,40.47,23-12-2021,40.39,3660.6,1.17,5602062.229,Completed
09-12-2021,2020,CHX,ChampionX Corp,"Tomson Technologies LLC,Group 2 Technologies LLC",,,,26-11-2021,19.56,20-12-2021,19.42,4196.51,2.39,24884.581,Completed
07-12-2021,2020,AMRC,Ameresco Inc,Juice Technologies Inc,,,,26-11-2021,89.7,17-12-2021,77.35,2914.66,0.89,315545,Completed
07-12-2021,2020,XOM,Exxon Mobil Corp,Materia Inc,,,,26-11-2021,54.6,17-12-2021,53.51,240864.12,1.68,108000000,Completed
06-12-2021,2020,GIFI,Gulf Island Fabrication Inc,Dynamic Industries Inc,"Riverstone Holdings LLC (Fund: Carlyle/Riverstone Global Energy & Power Fund III LP),Carlyle Group Inc/The (Fund: Carlyle MC Partners LP)",,,24-11-2021,4.14,16-12-2021,3.95,66.07,1.77,6908.99,Completed
02-12-2021,2020,GIFI,Gulf Island Fabrication Inc,Services & industrial staffing businesses/Dynamic Industries Inc,Dynamic Group Holdings LLC,8,,19-11-2021,4.02,13-12-2021,3.97,65.74,1.77,6908.99,Completed
01-12-2021,2020,PHX,PHX Minerals Inc,172 net royalty acres/OK,,1.38,,19-11-2021,2.36,13-12-2021,2.34,78.66,0.68,9445.626,Completed
30-11-2021,2020,GCMG,GCM Grosvenor Inc,Resource Waste Services LLC,ReEnergy Holdings LLC,,,19-11-2021,10.06,10-12-2021,9.14,1848.2,1.24,173.881,Completed
23-11-2021,2020,IEX,IDEX Corp,Nexsight LLC,,112.5,,12-11-2021,225.92,03-12-2021,219.42,17217.14,1.83,15406.338,Completed
17-11-2021,2020,NOG,Northern Oil and Gas Inc,non-operated Permian Basin assets,Veritas Energy LLC,406.5,,05-11-2021,22.48,29-11-2021,18.55,1883.97,1.28,155885.1295,Completed
16-11-2021,2020,OPTT,Ocean Power Technologies Inc,Marine Advanced Robotics Inc,,11.12,,05-11-2021,2.12,26-11-2021,1.82,296.46,-14.52,22.004,Completed
16-11-2021,2020,ENPH,Enphase Energy Inc,ClipperCreek Inc,,,,05-11-2021,237.9,26-11-2021,247.42,33328.38,1.91,26385.255,Completed
09-11-2021,2020,ADT,ADT Inc,Marc Jones Construction LLC,Compass Group Equity Partners LLC,824.49,,29-10-2021,7.74,19-11-2021,8.34,7689.09,1.18,24014.37571,Completed
09-11-2021,2020,SDIG,Stronghold Digital Mining Inc,Panther Creek Energy Facility,,,,29-10-2021,274.6,19-11-2021,241.4,4165.64,-13.79,619.3866745,Completed
05-11-2021,2020,SHEL,Shell PLC,"MSTS Payments LLC,Multi Service Fuel Card business",Multi Service Technology Solutions Inc,,,25-10-2021,43.17,15-11-2021,40.26,120995.28,1.09,31526463.37,Completed
03-11-2021,2020,OBE,Obsidian Energy Ltd,Peace River Oil Partnership,,35.04,,22-10-2021,3.85,15-11-2021,3.77,279.27,-13.47,85831.814,Completed
02-11-2021,2020,GNRC,Generac Holdings Inc,ecobee Inc,"Caisse de Depot et Placement du Quebec,Export Development Canada,Business Development Bank of Canada,Evergy Ventures Inc,Private Investor,Just Energy Group Inc,AGL Energy Ltd,Ontario Capital Growth Corp,Thomvest Ventures Inc,Tech Capital Partners Inc,Northleaf Capital Partners Ltd (Fund: Edge...",650,,22-10-2021,470.32,12-11-2021,446.87,28828.14,2.52,75778.454,Completed
29-10-2021,2020,WKC,World Kinect Corp,Flyers Energy LLC,Dwelle Family Foundation Inc,725,,18-10-2021,30.33,08-11-2021,26.25,1609.44,-1.51,41600,Completed
27-10-2021,2020,PSX,Phillips 66,Phillips 66 Partners LP,,2333.84,29.83,15-10-2021,71.11,08-11-2021,68.28,27610.11,0.01,12745003.08,Completed
27-10-2021,2020,LBRT,Liberty Energy Inc,PropX/Denver,,90,,15-10-2021,14.76,08-11-2021,11.63,2139.95,1.57,16570.243,Completed
26-10-2021,2020,WFG,West Fraser Timber Co Ltd,Oriented strand board mill/South Carolina,,280,,15-10-2021,87.44,05-11-2021,80.07,6097.85,-0.71,727714,Completed
22-10-2021,2020,XIFR,XPLR Infrastructure LP,Portfolio of 2520 MW renewables projects,NextEra Energy Inc,849,,11-10-2021,58.8,01-11-2021,66.96,5961.9,-0.56,48471.849,Completed
07-10-2021,2020,HRI,Herc Holdings Inc,Rapid Equipment Rental Ltd,,,,24-09-2021,150.34,18-10-2021,174.8,4578.64,-0.58,102469,Completed
06-10-2021,2020,SWX,Southwest Gas Holdings Inc,Dominion Energy Questar Pipeline LLC,Dominion Energy Inc,1975,,24-09-2021,59.44,18-10-2021,61.02,4305.48,0.77,360785.4,Completed
06-10-2021,2020,ARES,Ares Management Corp,Apex Clean Energy Inc,,,,24-09-2021,69.97,18-10-2021,69.31,14000.42,0.71,714.715,Completed
01-10-2021,2020,CVX,Chevron Corp,American Natural Gas LLC,Mercuria Energy Trading SA,,,20-09-2021,82.51,11-10-2021,93.26,159905.92,1.26,28078295.01,Completed
20-09-2021,2020,MTRN,Materion Corp,HCS-Electronic Materials,HC Starck Inc,380,,09-09-2021,69.72,30-09-2021,67.43,1422.89,-2.88,39393.068,Completed
17-09-2021,2020,PHX,PHX Minerals Inc,"Certain mineral/East Texas,Royalty interests/Louisiana",,0.73,,03-09-2021,2.25,27-09-2021,2.78,101.42,0.68,9445.626,Completed
07-09-2021,2020,ENB,Enbridge Inc,Moda Midstream Operating LLC,Encap Flatrock Midstream,3000,,27-08-2021,32.33,17-09-2021,32.5,71381.33,0.27,6852670,Completed
07-09-2021,2020,RPM,RPM International Inc,Chemical manufacturing plant/Corsicana,ChampionX Corp,,,27-08-2021,78.38,17-09-2021,73.79,9616.8,2.74,65498.861,Completed
02-09-2021,2020,PWR,Quanta Services Inc,Blattner Holding Co,,2700,,20-08-2021,95.68,13-09-2021,114.42,16792.42,1.63,233082.175,Completed
18-08-2021,2020,BLK,BlackRock Inc,National Renewable Solutions LLC,,,,06-08-2021,819.73,30-08-2021,867.29,128092.48,1.2,4090,Completed
17-08-2021,2020,WTTR,Select Water Solutions Inc,Agua Libre Midstream LLC,Basic Energy Services Inc,19.54,,06-08-2021,5.03,27-08-2021,5.3,521.74,-0.12,33176.646,Completed
17-08-2021,2020,BRY,Berry Corp,C&J Well Services Inc,Basic Energy Services Inc,,,06-08-2021,3.52,27-08-2021,3.89,261.25,4.6,805281.7146,Completed
11-08-2021,2020,EXE,Expand Energy Corp,Vine Energy Inc,,1459.77,,30-07-2021,44.64,23-08-2021,43.44,10943.59,-1.43,628218.3307,Completed
10-08-2021,2020,CLSK,Cleanspark Inc,87000 sq ft data center/Norcross,,,,30-07-2021,13.5,20-08-2021,10.79,4282.32,8.88,85.723,Completed
03-08-2021,2020,DINO,HF Sinclair Corp,"Marketing & diesel business,2 refineries/Rocky Mountain",Sinclair Cos/The,1783.29,,23-07-2021,25.46,13-08-2021,27.53,5045.24,-1.28,5479000,Completed
02-08-2021,2020,SUN,Sunoco LP,Portfolio of 8 terminal locations/NuStar Energy LP,NuStar Energy LP,250,,22-07-2021,28.02,12-08-2021,28.93,3966.13,0.72,75445.216,Completed
27-07-2021,2020,SHEL,Shell PLC,Inspire Energy Capital LLC,,,,16-07-2021,33.38,06-08-2021,35.97,102670.37,1.09,31526463.37,Completed
23-07-2021,2020,DUK,Duke Energy Corp,CNG fueling station/South Carolina,Spire Inc,,,12-07-2021,87.41,02-08-2021,91.42,69837.09,0.65,74985884.11,Completed
21-07-2021,2020,MSFT,Microsoft Corp,CloudKnox Security Inc,"Dell Ventures LP (Fund: Dell Strategic Innovation Venture Fund),Unknown Seller,Foundation Capital LLC (Fund: Foundation Capital VIII LP),Sorenson Capital (Fund: Sorenson Ventures LP),NextEra Energy Inc (Fund: Clearsky Security Fund I LLC),Wipro Ventures Ltd (Fund: Wipro Venture Capital Fund I...",,,09-07-2021,269.36,02-08-2021,276.03,2027361.43,4.52,118100,Completed
16-07-2021,2020,KMI,Kinder Morgan Inc,Kinetrex Energy,Parallel49 Equity,310,,02-07-2021,14.83,26-07-2021,14.24,31301.15,0.93,15600000,Completed
14-07-2021,2020,ORA,Ormat Technologies Inc,TG Geothermal Portfolio LLC,,171,,02-07-2021,68.18,26-07-2021,66.94,4140.44,0.72,184348.3108,Completed
12-07-2021,2020,WTTR,Select Water Solutions Inc,Complete Energy Services LLC,Superior Energy Services Inc,36.44,,01-07-2021,5.9,22-07-2021,5.33,563.28,-0.12,33176.646,Completed
09-07-2021,2020,KMI,Kinder Morgan Inc,Twin Tier Pipeline LLC,"Consolidated Edison Inc,Crestwood Equity Partners LP",30,,28-06-2021,14.35,19-07-2021,13.72,33128.83,0.93,15600000,Completed
07-07-2021,2020,GEOS,Geospace Technologies Corp,Aquana LLC,,1.4,,25-06-2021,8.05,19-07-2021,8,107.84,5.24,885.573,Completed
06-07-2021,2020,PTEN,Patterson-UTI Energy Inc,Pioneer Energy Services Corp,,425.8,21.42,25-06-2021,9.64,16-07-2021,7.64,3323.08,-0.88,134439.391,Completed
01-07-2021,2020,CDZI,Cadiz Inc,220 mile Northern Pipeline,Kinder Morgan Inc,19,,18-06-2021,12.6,12-07-2021,13.7,1084.91,-6.04,6.843,Completed
01-07-2021,2020,EPD,Enterprise Products Partners LP,Ethylene Storage Business/NOVA Chemicals Corp,NOVA Chemicals Corp,,,18-06-2021,18.19,12-07-2021,18.66,40254.71,1.89,980.396,Completed
30-06-2021,2020,CE,Celanese Corp,Santoprene synthetic rubber business/ExxonMobil,Exxon Mobil Corp,1150,,18-06-2021,135.78,12-07-2021,143.11,15364.86,-8.37,1139252.19,Completed
08-06-2021,2020,RF,Regions Financial Corp,EnerBank USA,CMS Energy Corp,960,,28-05-2021,20.14,18-06-2021,16.74,17520.31,0.34,291136,Completed
08-06-2021,2020,APO,Apollo Global Management Inc,Total Operations & Production Services LLC,Black Bay Energy Capital LLC,,,28-05-2021,52.84,18-06-2021,52.86,30236.18,0.39,211,Completed
01-06-2021,2020,KMI,Kinder Morgan Inc,Stagecoach Gas Services LLC,"Consolidated Edison Inc,Crestwood Equity Partners LP",1225,,21-05-2021,14.95,11-06-2021,15.29,32844.92,0.93,15600000,Completed
27-05-2021,2020,MS,Morgan Stanley,Produced water infrastructure assets/Hibernia Energy III LLC,Hibernia Energy LLC,,,14-05-2021,76.76,07-06-2021,81.91,127987.74,0.31,17170.69892,Completed
27-05-2021,2020,MS,Morgan Stanley,Produced water infrastructure assets,Hibernia Energy LLC,,,14-05-2021,76.76,07-06-2021,81.91,127987.74,0.31,17170.69892,Completed
24-05-2021,2020,CTRA,Coterra Energy Inc,Cimarex Energy Co,,8815.27,,13-05-2021,13.9,03-06-2021,13.58,10256.05,1.37,302393.901,Completed
17-05-2021,2020,SPRU,Spruce Power Holding Corp,World Energy Efficiency Services LLC,,15,,06-05-2021,48.4,27-05-2021,55.92,927.15,-6.63,242.983,Completed
12-05-2021,2020,D,Dominion Energy Inc,Birdseye Renewable Energy LLC,BRE Holdings LLC,28,,30-04-2021,67,24-05-2021,64.65,55118.21,-0.07,14575889.35,Completed
12-05-2021,2020,DTE,DTE Energy Co,Isabella Wind I and II projects/Isabella County,Greenlight Energy Resources Inc,,,30-04-2021,105.4,24-05-2021,107.02,21622.06,0.6,20962000.49,Completed
10-05-2021,2020,CIVI,Civitas Resources Inc,Extraction Oil & Gas Inc,,1382.69,,29-04-2021,24.9,20-05-2021,31.26,2714.96,1.01,1200551,Completed
06-05-2021,2020,EQT,EQT Corp,"Eqt Amd LLC,EQT ARO LLC",,2925,,23-04-2021,16.8,17-05-2021,21.92,10424.83,1.05,225875.1213,Completed
06-05-2021,2020,AMSC,American Superconductor Corp,Neeltran Inc,,8.8,,23-04-2021,17.13,17-05-2021,13.99,574.14,0.79,51772.2765,Completed
03-05-2021,2020,CHRD,Chord Energy Corp,Williston Basin assets/Diamondback Energy Inc,Diamondback Energy Inc,745,,22-04-2021,47.73,13-05-2021,48.9,3076.9,1.62,537377.29,Completed
22-04-2021,2020,AEP,American Electric Power Co Inc,100 MW Dry Lake Solar Project,,114,,09-04-2021,74,03-05-2021,76.41,40405.7,0.64,25012316.5,Completed
19-04-2021,2020,XIFR,XPLR Infrastructure LP,Portfolio of 4 operating wind assets/US,Brookfield Renewable Partners LP,733,,08-04-2021,55.94,29-04-2021,56.86,5238.04,-0.56,48471.849,Completed
14-04-2021,2020,EOSE,Eos Energy Enterprises Inc,HI-Power LLC,Holtec International Corp,0.03,,01-04-2021,18.14,26-04-2021,14.33,3399.43,-158.12,6.282,Completed
14-04-2021,2020,EOSE,Eos Energy Enterprises Inc,HI-Power LLC,,,,01-04-2021,18.14,26-04-2021,14.33,3399.43,-158.12,6.282,Completed
05-04-2021,2020,DNOW,DNOW Inc,Flex Flow Services LLC,GR Energy Services LLC,90,,25-03-2021,10,15-04-2021,9.68,1088.58,1.42,24600,Completed
18-03-2021,2020,PPL,PPL Corp,Narragansett Electric Co/The,National Grid PLC,3770,,05-03-2021,24.06,29-03-2021,25.12,18945.51,0.43,4667507.703,Completed
09-03-2021,2020,EFX,Equifax Inc,HireTechs.com,Green Day Technologies Inc,,,26-02-2021,157.52,19-03-2021,169.49,21107.28,1.48,6751.474,Completed
05-03-2021,2020,CVX,Chevron Corp,Noble Midstream Partners LP,,454.5,4.62,22-02-2021,83.49,15-03-2021,93.56,162847.78,1.26,28078295.01,Completed
24-02-2021,2020,RNW,ReNew Energy Global PLC,ReNew Power Pvt Ltd,"Piramal Enterprises Ltd,Canada Pension Plan Investment Board,Abu Dhabi Investment Authority,Private Investor,GEF Management Corp (Fund: South Asia Clean Energy Fund),Goldman Sachs Group Inc/The (Fund: West Street Energy Partners LP),Asian Development Bank (Fund: Asia Climate Partners LP),JERA...",1200,1.95,12-02-2021,11.66,08-03-2021,10.42,2862.81,-0.4,1001921.235,Completed
24-02-2021,2020,CLSK,Cleanspark Inc,Solar Watt Solutions Inc,,18.06,,12-02-2021,28.23,08-03-2021,21.21,7786.81,8.88,85.723,Completed
22-02-2021,2020,BIPC,Brookfield Infrastructure Corp,Inter Pipeline Ltd,,10949.35,15.14,11-02-2021,35.27,04-03-2021,39.14,4216.93,-4.05,299516.816,Completed
22-02-2021,2020,ADN,Advent Technologies Holdings I,UltraCell LLC,Bren-Tronics Inc,,,11-02-2021,460.5,04-03-2021,406.2,1096.26,-252.72,1226.172333,Completed
18-02-2021,2020,VRN,Veren Inc,Kaybob Duvernay assets/Shell Canada Energy,Shell PLC,854.19,,05-02-2021,2.85,01-03-2021,3.31,1978.75,1.25,1126052.5,Completed
17-02-2021,2020,ET,Energy Transfer LP,Enable Midstream Partners LP,,6792.52,7.61,05-02-2021,4.89,01-03-2021,5.91,17216.73,0.86,14927.273,Completed
17-02-2021,2020,NOVA,Sunnova Energy International Inc,SunStreet Energy Group LLC,Lennar Corp,162.73,,05-02-2021,49.45,01-03-2021,47.92,6202.67,-0.95,2064.815338,Completed
04-02-2021,2020,NOG,Northern Oil and Gas Inc,Certain non operated natural gas assets,Reliance Industries Ltd,120.9,,22-01-2021,9.12,16-02-2021,10.61,912.71,1.28,155885.1295,Completed
02-02-2021,2020,OPTT,Ocean Power Technologies Inc,3dent Technology LLC,,,,22-01-2021,5.6,12-02-2021,5.2,651.33,-14.52,22.004,Completed
26-01-2021,2020,ENPH,Enphase Energy Inc,Sofdesk Inc,Wave Media Group LLC,,,15-01-2021,190.59,05-02-2021,193.2,24817.12,1.91,26385.255,Completed
13-01-2021,2020,NFE,New Fortress Energy Inc,Hygo Energy Transition Ltd,"Golar LNG Ltd,Stonepeak Partners LP (Fund: Stonepeak Infrastructure Fund II LP)",2289.13,,31-12-2020,47.33,25-01-2021,39.15,13614.96,0.08,967889,Completed
13-01-2021,2020,NFE,New Fortress Energy Inc,CH4 Energia Ltda,"Vibra Energia SA,Camacari Muricy II SA,Pecem Energia SA,CCETC Brasil Holding SA",9.43,,31-12-2020,47.33,25-01-2021,39.15,13614.96,0.08,967889,Completed
23-12-2020,2019,AEE,Ameren Corp,400 MW project/Missouri,,,,11-12-2020,68.87,04-01-2021,67.67,18167.47,0.46,24413650.5,Completed
23-12-2020,2019,BLK,BlackRock Inc,945 MW natural gas fired power plant/Heard County,TCT Generation Holdings LLC,,,11-12-2020,629.27,04-01-2021,643.41,98882.79,1.2,6386,Completed
21-12-2020,2019,FANG,Diamondback Energy Inc,QEP Resources Inc,,2183.83,3.71,10-12-2020,41.58,31-12-2020,40.3,10848.9,1.6,1389998.61,Completed
21-12-2020,2019,FANG,Diamondback Energy Inc,Guidon Operating LLC,,858.26,,10-12-2020,41.58,31-12-2020,40.3,10848.9,1.6,1389998.61,Completed
21-12-2020,2019,ENB,Enbridge Inc,Crude oil terminalling segment,Blueknight Energy Partners LP,132,,10-12-2020,26.62,31-12-2020,24.88,54796.63,0.27,7619166.547,Completed
16-12-2020,2019,ORA,Ormat Technologies Inc,Shovel Ready Project/Texas,Consolidated Edison Inc,,,04-12-2020,74.46,28-12-2020,85.38,4764.26,0.72,380143.7521,Completed
15-12-2020,2019,TRP,TC Energy Corp,TC PipeLines LP,,3771.13,13.77,04-12-2020,35.75,28-12-2020,31.69,36200.67,0.84,14427861,Completed
15-12-2020,2019,GTLS,Chart Industries Inc,Sustainable Energy Solutions Inc,,20,,04-12-2020,108.74,28-12-2020,118.74,5183.57,0.73,43255.51916,Completed
14-12-2020,2019,MUSA,Murphy USA Inc,Quick Chek Corp,,645,,03-12-2020,122.09,24-12-2020,127.29,2501.09,3.14,108593.0777,Completed
08-12-2020,2019,LGO,Largo Inc,Certain assets/Vionx Energy Corp,Vionx Energy Corp,,,27-11-2020,8.4,18-12-2020,11.6,743.69,-2.81,6374.777656,Completed
