Announce Date,Reference_Year,Ticker,Acquirer Name,Annual_Sales (Million $),Acquirer_GHG_Emissions (Metric Tonnes),Carbon_Intensity,Acquirer_Classification,Target Name,Target_Classification,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_3_Date,T_minus_3_Price ($),T_plus_3_Date,T_plus_3_Price ($),Percent_Return,Deal Status,Benchmark_Return,Abnormal_Return,Weighted_Abnormal_Return,Weight,Log_Carbon_Intensity
2023-02-16,2022,DNOW,DNOW Inc,2136.000000,19243.000000,23.809700,Green,EcoVapor Recovery Systems LLC,Green,,,,2023-02-10,14.290000,2023-02-21,12.420000,-13.090000,Completed,-3.156323,-9.933677,-0.007136,0.000718,3.211235
2023-01-04,2022,HASI,HA Sustainable Infrastructure,239.740000,0.000000,0.000000,Green,Portfolio of 1.3 GW renewables/US,Green,AES Corp/The,,,2022-12-30,25.660000,2023-01-09,27.780000,8.250000,Completed,0.379674,7.870326,0.000635,0.000081,0.000000
2023-01-03,2022,AMPS,Altus Power Inc,101.160000,440.410000,4.353500,Green,220 mw solar assets/True Green Capital Management LLC,Green,True Green Capital Management LLC,293.000000,,2022-12-30,6.520000,2023-01-06,6.960000,6.750000,Completed,0.736296,6.013704,0.000205,0.000034,1.677751
2022-11-18,2021,CVX,Chevron Corp,155606.000000,28582001.820000,478.933800,Brown,Beyond6 LLC,Green,"Mercuria Energy Trading Inc,Unknown Seller",,,2022-11-14,168.890000,2022-11-21,165.350000,-2.090000,Completed,-2.942094,0.852094,0.044589,0.052329,6.173648
2022-11-02,2021,PUMP,ProPetro Holding Corp,874.510000,14877.680000,18.125500,Green,Silvertip Completion Services,Green,,136.160000,,2022-10-28,11.470000,2022-11-07,12.100000,5.490000,Completed,4.553630,0.936370,0.000275,0.000294,2.951023
2022-11-02,2021,WTTR,Select Water Solutions Inc,764.620000,335852.060000,93.800900,Brown,"Breakwater Energy Partners LLC,Breakwater & water pipeline assets/Cypress Environmental Services LLC",Green,Cypress Environmental Partners,,,2022-10-28,8.570000,2022-11-07,8.790000,2.560000,Completed,4.553630,-1.993630,-0.000513,0.000257,4.551779
2022-10-26,2021,PROP,Prairie Operating Co,0.810000,301.260000,373.030500,Brown,Prairie Operating Co LLC,Green,,28.200000,,2022-10-21,4.740000,2022-10-31,4.710000,-0.620000,Completed,6.521487,-7.141487,-0.000002,0.000000,5.924337
2022-10-18,2021,D,Dominion Energy Inc,13964.000000,15471297.200000,2673.081600,Brown,Energy Storage Project/East Point Energy,Green,East Point Energy LLC,,,2022-10-14,56.680000,2022-10-21,57.760000,1.900000,Completed,4.245122,-2.345122,-0.011013,0.004696,7.891361
2022-09-29,2021,BN,Brookfield Corp,75731.000000,778802.780000,21.407700,Green,Standard Solar Inc,Green,Energir Inc,530.000000,,2022-09-23,34.710000,2022-10-03,33.420000,-3.720000,Completed,1.831390,-5.551390,-0.141381,0.025468,3.109405
2022-09-29,2021,ENB,Enbridge Inc,47071.000000,7431128.000000,82.196900,Brown,Tri Global Energy LLC,Green,"Altius Minerals Corp,Unknown Seller",270.000000,,2022-09-23,33.180000,2022-10-03,33.550000,1.100000,Completed,1.831390,-0.731390,-0.011578,0.015830,4.421210
