Announce Date,Reference_Year,Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,Deal Status,Acquirer_GHG_Emissions,Annual_Sales,Carbon_Intensity,Target_Classification,Acquirer_Classification,Announce_Date_DT,status,ticker,T_minus_3_Date,T_minus_3_Price,T_plus_3_Date,T_plus_3_Price,Percent_Return
2018-08-30,2017,AEP,American Electric Power Co Inc,1.4 MW Fuel cell power plant/US,FuelCell Energy Inc,,,Completed,39515012.33,15424.9,3035.829,Neutral,Brown,2018-08-30,Success,AEP,2018-08-24,56.79,2018-09-04,57.36,0.99
2018-08-24,2017,ENB,Enbridge Inc,Spectra Energy Partners LP,,3158.62,17.59,Completed,8305905.156,44378.0,82.1969,Brown,Brown,2018-08-24,Success,ENB,2018-08-20,25.0,2018-08-27,24.56,-1.74
2018-08-23,2017,ROCK,Gibraltar Industries Inc,SolarBOS,,6.4,,Completed,33174.7884,986.918,33.6145,Green,Brown,2018-08-23,Success,ROCK,2018-08-17,44.9,2018-08-27,45.4,1.11
2018-08-22,2017,ETR,Entergy Corp,810-megawatt Choctaw plant,NRG Energy Inc,314.0,,Completed,33135506.76,11074.481,3003.6345,Neutral,Brown,2018-08-22,Success,ETR,2018-08-17,29.82,2018-08-27,29.32,-1.66
2018-08-14,2017,FANG,Diamondback Energy Inc,Energen Corp,,9144.68,11.25,Completed,576499.1116,1211.839,284.1958,Brown,Brown,2018-08-14,Success,FANG,2018-08-10,106.55,2018-08-17,95.09,-10.75
2018-08-09,2017,FANG,Diamondback Energy Inc,Midland basin assets/Texas,Ajax Resources LLC,1241.63,,Completed,576499.1116,1211.839,284.1958,Brown,Brown,2018-08-09,Success,FANG,2018-08-03,103.38,2018-08-13,104.23,0.82
2018-08-08,2017,STWD,Starwood Property Trust Inc,Energy Financial Services business/General Electric Co,General Electric Co,2010.0,,Completed,4048.767447,1154.948,3.5056,Neutral,Green,2018-08-08,Success,STWD,2018-08-03,12.28,2018-08-13,11.65,-5.13
2018-08-06,2017,KOS,Kosmos Energy Ltd,"Deep Gulf Energy LP,Deep Gulf Energy II LLC,Deep Gulf Energy III LLC","Quintana Capital Group LP (Fund: Quintana Energy Partners LP),First Reserve Corp (Fund: First Reserve Fund XI LP),First Reserve Corp (Fund: First Reserve Fund X LP),ArcLight Capital Partners LLC (Fund: ArcLight Energy Partners Fund V LP)",1225.0,,Completed,337587.0576,675.573,499.7048,Neutral,Brown,2018-08-06,Success,KOS,2018-08-02,7.33,2018-08-09,7.63,4.04
2018-08-01,2017,BIP,Brookfield Infrastructure Partners LP,Enercare Inc,,2392.9,10.72,Completed,426787.7135,3535.0,120.732,Brown,Brown,2018-08-01,Success,BIP,2018-07-27,19.0,2018-08-06,19.16,0.81
2018-08-01,2017,SUN,Sunoco LP,Sandford Oil Co Inc,,66.0,,Completed,18366.1874,11723.0,5.8905,Brown,Green,2018-08-01,Success,SUN,2018-07-27,14.41,2018-08-06,15.09,4.71
2018-08-01,2017,CRK,Comstock Resources Inc,Haynesville shale property/US,Enduro Resource Partners LLC,37.0,,Completed,122144.8418,255.331,478.3784,Brown,Brown,2018-08-01,Success,CRK,2018-07-27,9.02,2018-08-06,8.49,-5.88
2018-07-31,2017,NOG,Northern Oil and Gas Inc,W Energy Partners LLC,"Crestview Partners LP/NY (Fund: Crestview Partners III LP),Unknown Seller",156.37,,Completed,180735.5753,209.3197,863.4427,Brown,Brown,2018-07-31,Success,NOG,2018-07-27,28.64,2018-08-03,32.52,13.54
2018-07-31,2017,GPRE,Green Plains Inc,2 cattle feeding operations of Bartlett Cattle Co LC,Bartlett Cattle Co LP,16.0,,Completed,1720434.628,3596.166,373.7611,Brown,Brown,2018-07-31,Success,GPRE,2018-07-27,15.81,2018-08-03,16.79,6.13
2018-07-30,2017,NEE,NextEra Energy Inc,City Gas Co Of Florida,Southern Co/The,,,Completed,39293829.13,17173.0,2805.4869,Brown,Brown,2018-07-30,Success,NEE,2018-07-26,35.74,2018-08-02,36.01,0.77
2018-07-25,2017,OKE,ONEOK Inc,West Texas LPG Pipeline LP,Martin Midstream Partners LP,193.7,,Completed,2899999.864,12173.907,280.2397,Brown,Brown,2018-07-25,Success,OKE,2018-07-20,45.17,2018-07-30,45.59,0.93
2018-07-25,2017,PLUG,Plug Power Inc,American Fuel Cell LLC,Excell Partners Inc,,,Completed,4442.43582,100.153,44.3565,Green,Brown,2018-07-25,Success,PLUG,2018-07-20,1.96,2018-07-30,1.91,-2.55
2018-07-24,2017,HAL,Halliburton Co,Athlon Solutions LLC,,,,Completed,1859703.128,20620.0,55.7288,Neutral,Brown,2018-07-24,Success,HAL,2018-07-20,39.68,2018-07-27,36.69,-7.52
2018-07-18,2017,NOG,Northern Oil and Gas Inc,Oil production/North Dakota,Pivotal Petroleum Partners LP,148.57,,Completed,180735.5753,209.3197,863.4427,Brown,Brown,2018-07-18,Success,NOG,2018-07-13,30.05,2018-07-23,30.49,1.47
2018-07-09,2017,LNT,Alliant Energy Corp,CLS Partners LLC,,,,Completed,31546080.73,3382.2,9327.0891,Neutral,Brown,2018-07-09,Success,LNT,2018-07-05,35.12,2018-07-12,34.9,-0.62
