Announce Date,Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,Deal Status,Company Name
30-10-2021,LCFS.TO,Tidewater Renewables Ltd,Operating assets/Tidewater Midstream & Infrastructure Ltd,Tidewater Midstream and Infrastructure Ltd,434.41,,Completed,Tidewater Renewables Ltd
30-10-2021,FTXP,Foothills Exploration Inc,20 oil wells & 4 Class II salt water disposal injection wells/Illnois,,,,Completed,Foothills Exploration Inc
29-10-2021,WKC,World Kinect Corp,Flyers Energy LLC,Dwelle Family Foundation Inc,725,,Completed,World Kinect Corp
27-10-2021,PSX,Phillips 66,Phillips 66 Partners LP,,2333.84,29.83,Completed,Phillips 66
27-10-2021,LBRT,Liberty Energy Inc,PropX/Denver,,90,,Completed,Liberty Energy Inc
26-10-2021,WFG,West Fraser Timber Co Ltd,Oriented strand board mill/South Carolina,,280,,Completed,West Fraser Timber Co Ltd
22-10-2021,XIFR,XPLR Infrastructure LP,Portfolio of 2520 MW renewables projects,NextEra Energy Inc,849,,Completed,XPLR Infrastructure LP
22-10-2021,KNTK,Kinetik Holdings Inc,BCP Raptor Holdco LP,,,,Completed,Kinetik Holdings Inc
21-10-2021,DBRM,Daybreak Oil and Gas Inc,Reabold California LLC,Reabold Resources PLC,,,Completed,Daybreak Oil and Gas Inc
15-10-2021,TPC.V,Tenth Avenue Petroleum Corp,Oil & gas assets/Salida Energy Inc,Salida Energy Inc,,,Completed,Tenth Avenue Petroleum Corp
14-10-2021,PLUG,Plug Power Inc,Applied Cryo Technologies Inc,,,,Completed,Plug Power Inc
13-10-2021,RNEW.L,Ecofin US Renewables Infrastructure Trust PLC,Delran Solar,,3,,Completed,Ecofin US Renewables Infrastructure Trust PLC
12-10-2021,MERG.V,Metal Energy Corp,D Block Discoveries Inc,,,,Completed,Metal Energy Corp
09-10-2021,RE.V,RE Royalties Ltd,27MW Solar Project/Pennsylvania,Teichos Energy LLC,2.2,,Completed,RE Royalties Ltd
07-10-2021,BP,BP PLC,Blueprint Power Technologies Inc,"Lennar Corp,Private Investor,Fifth Wall Ventures Management LLC (Fund: Fifth Wall Ventures LP),Congruent Ventures (Fund: Congruent Ventures I LP),MetaProp NYC LLC (Fund: Metaprop Ventures II LP),Hanwha Energy USA Holdings Corp",,,Completed,BP PLC
07-10-2021,HRI,Herc Holdings Inc,Rapid Equipment Rental Ltd,,,,Completed,Herc Holdings Inc
06-10-2021,SWX,Southwest Gas Holdings Inc,Dominion Energy Questar Pipeline LLC,Dominion Energy Inc,1975,,Completed,Southwest Gas Holdings Inc
06-10-2021,ARES,Ares Management Corp,Apex Clean Energy Inc,,,,Completed,Ares Management Corp
06-10-2021,AGYP,Allied Energy Corp,325 acre Prometheus Lease/Garza County,,,,Completed,Allied Energy Corp
06-10-2021,GWAV,Greenwave Technology Solutions,Metal recycling facility,,,,Completed,Greenwave Technology Solutions
