Announce Date,Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,Deal Status,Company Name
16-03-2022,OODH,Orion Diversified Holding Co Inc,Permian Basin property/Ward County,,,,Completed,Orion Diversified Holding Co Inc
15-03-2022,ENPH,Enphase Energy Inc,SolarLeadFactory LLC,,,,Completed,Enphase Energy Inc
09-03-2022,OEWA.MU,Verbund AG,Unnamed Target,Capital Energy SL,,,Completed,Verbund AG
08-03-2022,SND,Smart Sand Inc,Hi-Crush Blair LLC,Hi-Crush Inc,6.5,,Completed,Smart Sand Inc
07-03-2022,CHRD,Chord Energy Corp,Whiting Petroleum Corp,,3247,2.77,Completed,Chord Energy Corp
05-03-2022,SRCAF,Stria Lithium Inc,Romer Polymetallic property/Nunavik,Braille Energy Systems Inc,0.27,,Completed,Stria Lithium Inc
05-03-2022,INE.TO,Innergex Renewable Energy Inc,Shannon wind facility/TX,,,,Completed,Innergex Renewable Energy Inc
04-03-2022,PWWRF,Cleantech Power Corp,Combined Heat & Power generation business,"AI Renewable 2018-I LP,AI Renewable 2020-I LP,AI 2191 Yonge Ltd",4.53,,Completed,Cleantech Power Corp
04-03-2022,PPP.V,Prospector Metals Corp,Heaven Lake property,,0.76,,Completed,Prospector Metals Corp
03-03-2022,ALE,ALLETE Inc,NEW Energy Equity LLC,"Unknown Seller,SmartPitch Ventures LLC",165.5,,Completed,ALLETE Inc
03-03-2022,NXXT,NextNRG Inc,Mobile Fuel Delivery service/Full Service Fueling Inc,Full Service Fueling Inc,,,Completed,NextNRG Inc
03-03-2022,BRZV,Fitvia Corp,Magnum Ltd/NV,,,,Completed,Fitvia Corp
02-03-2022,PRQ.TO,Petrus Resources Ltd,Unnamed Target,,12.49,,Completed,Petrus Resources Ltd
01-03-2022,3RL.F,Alarm.com Holdings Inc,Packetized Energy Technologies Inc,,,,Completed,Alarm.com Holdings Inc
28-02-2022,CVX,Chevron Corp,Renewable Energy Group Inc,,2769.66,8.87,Completed,Chevron Corp
28-02-2022,TGRO,Tiger Oil and Energy Inc,Unnamed Target,,,,Completed,Tiger Oil and Energy Inc
25-02-2022,SEPL.L,SEPLAT Energy PLC,Mobil Producing Nigeria UnLtd,Exxon Mobil Corp,1283,,Completed,SEPLAT Energy PLC
25-02-2022,NVAX,NOV Inc,Advanced Drilling Solutions business/AFG Holdings Inc,AFG Holdings Inc,,,Completed,NOV Inc
24-02-2022,E,Eni SpA,"266 MW operating solar plant,200 MW/400 MWh storage project",BayWa AG,,,Completed,Eni SpA
23-02-2022,BEEM,Beam Global,AllCell Technologies LLC,,13.67,,Completed,Beam Global
23-02-2022,SLTFF,Pegasus Resources Inc,Energy Sands Project/Utah,,,,Completed,Pegasus Resources Inc
22-02-2022,MTDR,Matador Resources Co,Producing & non-producing properties,,242,,Completed,Matador Resources Co
16-02-2022,VSOLF,Three Sixty Solar Ltd,Three Sixty Solar Ltd,,,,Completed,Three Sixty Solar Ltd
16-02-2022,HNRG,Hallador Energy Co,Merom generating station/Indiana,Hoosier Energy Rural Electric Cooperative Inc,,,Completed,Hallador Energy Co
16-02-2022,HYTNF,HYTN Innovations Inc,HYTN Beverage Corp,,,,Completed,HYTN Innovations Inc
15-02-2022,CRGY,Crescent Energy Co,Oil Assets/Uinta Basin,Verdun Oil Co LLC,690,,Completed,Crescent Energy Co
14-02-2022,EEENF,88 Energy Ltd,Texas Oil and Gas Production Assets/Project Longhorn,Lonestar I LLC,12.2,,Completed,88 Energy Ltd
11-02-2022,ACX.TO,ACT Energy Technologies Ltd,Discovery Downhole Services Inc,,1.99,,Completed,ACT Energy Technologies Ltd
10-02-2022,GQN2.F,GDI Integrated Facility Services Inc,Gestion ECI Inc,,,,Completed,GDI Integrated Facility Services Inc
09-02-2022,EPM,Evolution Petroleum Corp,Non-operated oil & natural gas assets/Sublette County,Exaro Energy III LLC,26.2,,Completed,Evolution Petroleum Corp
09-02-2022,NXMR,NextMart Inc,Assets & book of oilfield business/Defender Contracting LLC,Defender Contracting LLC,,,Completed,NextMart Inc
08-02-2022,PM7.F,Revolve Renewable Power Corp,ReVolve Renewable Power Ltd,,,,Completed,Revolve Renewable Power Corp
08-02-2022,VMXX.V,Valhalla Metals Inc,Valhalla Metals Inc,,,,Completed,Valhalla Metals Inc
08-02-2022,EDGM,EdgeMode Inc,EdgeMode Inc,,,,Completed,EdgeMode Inc
07-02-2022,PED,PEDEVCO Corp,D-J Basin assets/Colorado,,,,Completed,PEDEVCO Corp
05-02-2022,R6B.F,Guardian Exploration Inc,Kaigani claims/US,,0.04,,Completed,Guardian Exploration Inc
04-02-2022,ROK.V,ROK Resources Inc,Certain oil & gas assets/Federated Co-operatives Ltd,Federated Co-Operatives Ltd,56.42,,Completed,ROK Resources Inc
02-02-2022,17J.F,Journey Energy Inc,Canadian Oil & Gas Properties/ Enerplus,Enerplus Corp,110.39,,Completed,Journey Energy Inc
01-02-2022,CIVI,Civitas Resources Inc,Bison Oil & Gas II LLC,,345.42,,Completed,Civitas Resources Inc
01-02-2022,MKGP,Maverick Energy Group Ltd,Core property/Texas,,5.04,,Completed,Maverick Energy Group Ltd
01-02-2022,TNTLF,Tantalus Systems Holding Inc,DLC Systems Inc,,4.75,,Completed,Tantalus Systems Holding Inc
27-01-2022,ABBN.SW,ABB Ltd,In-Charge Energy Inc,,,,Completed,ABB Ltd
25-01-2022,EXE,Expand Energy Corp,Chief E&D Holdings LP,"Tug Hill Inc/Texas,Rees-Jones Foundation/The,Unknown Seller,Rees-Jones Family Holdings LP,Chief E&D GP LLC,Chief E&D Participants LP",2634.47,,Completed,Expand Energy Corp
24-01-2022,EFXT,Enerflex Ltd,Exterran Corp,,765.91,5.37,Completed,Enerflex Ltd
20-01-2022,EPM,Evolution Petroleum Corp,Non-operated oil & natural gas assets/Williston Basin,"Foundation Energy Management LLC,Unknown Seller",25.9,,Completed,Evolution Petroleum Corp
20-01-2022,HUT,Hut 8 Corp,Cloud & colocation data center business,TeraGo Inc,24.07,,Completed,Hut 8 Corp
20-01-2022,CHRB,Charah Solutions Inc,"Monarch Wastewater Treatment Facility/Allegheny County,Lefever Ash Landfill/Cheswick,Cheswick Generating Station/Springdale",GenOn Energy Inc,,,Completed,Charah Solutions Inc
19-01-2022,PLUG,Plug Power Inc,Joule Processing LLC,,30,,Completed,Plug Power Inc
18-01-2022,ALTO,Alto Ingredients Inc,Eagle Alcohol Co LLC,,14,,Completed,Alto Ingredients Inc
17-01-2022,0QIK.L,Quest Holdings SA,2MW photovoltaic power plants/Attica,,,,Completed,Quest Holdings SA
13-01-2022,DUK,Duke Energy Corp,3211 Shannon Rd/Durham,,,,Completed,Duke Energy Corp
12-01-2022,LOMEF,Lithium One Metals Inc,12 mineral claims/Quebec,,0.04,,Completed,Lithium One Metals Inc
10-01-2022,EPD,Enterprise Products Partners LP,Navitas Midstream Partners LLC,Warburg Pincus LLC,3250,,Completed,Enterprise Products Partners LP
09-01-2022,RELIANCE.NS,Reliance Industries Ltd,Mandarin Oriental hotel/ NY,Investment Corp of Dubai,,,Completed,Reliance Industries Ltd
06-01-2022,SASY.CN,Sassy Gold Corp,Highrock Energy Ltd,Forum Energy Metals Corp,,,Completed,Sassy Gold Corp
05-01-2022,IDVV,International Endeavors Corp,Universal Voltage,,,,Completed,International Endeavors Corp
04-01-2022,UGI,UGI Corp,Stonehenge Appalachia LLC,Stonehenge Energy Holdings LLC,190,,Completed,UGI Corp
04-01-2022,FELE,Franklin Electric Co Inc,Blake Group Holdings Inc,,27.1,,Completed,Franklin Electric Co Inc
03-01-2022,AEPT,American Energy Partners Inc,Apex Energy Service LLC,,,,Completed,American Energy Partners Inc
03-01-2022,GRMN,Garmin Ltd,Vesper Marine Ltd,Pioneer Capital Partners,,,Completed,Garmin Ltd
30-12-2021,REP.MU,Repsol SA,Oil & gas exploration development & producing properties,Rockdale Marcellus Holdings LLC,220,,Completed,Repsol SA
29-12-2021,INE.TO,Innergex Renewable Energy Inc,Flat Top wind facility,,,,Completed,Innergex Renewable Energy Inc
29-12-2021,CIPI,Correlate Energy Corp,"Loyal Enterprises LLC,Correlate Inc",,,,Completed,Correlate Energy Corp
23-12-2021,FCPT,Four Corners Property Trust Inc,2 Express Oil Change/Mississippi,,4.6,,Completed,Four Corners Property Trust Inc
22-12-2021,DORL.TA,Doral Group Renewable Energy Resources Ltd,Brenneman Solar Project/US,,,,Completed,Doral Group Renewable Energy Resources Ltd
21-12-2021,PNE.TO,Pine Cliff Energy Ltd,Unnamed Target,,17.17,,Completed,Pine Cliff Energy Ltd
21-12-2021,OODH,Orion Diversified Holding Co Inc,"Eagle Ford Shale/McMullen County,Bakken Shale/Sheridan County",,,,Completed,Orion Diversified Holding Co Inc
21-12-2021,ENPH,Enphase Energy Inc,365 Pronto Inc,,,,Completed,Enphase Energy Inc
21-12-2021,IGN1L.VS,AB Ignitis Grupe,Unnamed Target,,,,Completed,AB Ignitis Grupe
20-12-2021,BP,BP PLC,BP Midstream Partners LP,,736.56,21.6,Completed,BP PLC
20-12-2021,ATD.TO,Alimentation Couche-Tard Inc,Slidell Oil Co LLC,,,,Completed,Alimentation Couche-Tard Inc
19-12-2021,GTII,Global Tech Industries Group Inc,Classroom Salon LLC,,11.99,,Completed,Global Tech Industries Group Inc
17-12-2021,BOOM,DMC Global Inc,Arcadia Inc,,282.5,,Completed,DMC Global Inc
17-12-2021,XEB.SG,Sojitz Corp,McClure Co,PPL Corp,,,Completed,Sojitz Corp
17-12-2021,ATD.TO,Alimentation Couche-Tard Inc,17 convenience stores/Louisiana,Slidell Oil Co Inc,,,Completed,Alimentation Couche-Tard Inc
16-12-2021,STEM,Stem Inc,Also Energy Inc,"Management Group,Clairvest Group Inc (Fund: Clairvest Equity Partners V LP)",695,,Completed,Stem Inc
16-12-2021,ULBI,Ultralife Corp,Excell Battery Canada ULC,,16.45,,Completed,Ultralife Corp
16-12-2021,ULBI,Ultralife Corp,656700 BC Ltd,,7.05,,Completed,Ultralife Corp
16-12-2021,CPK,Chesapeake Utilities Corp,Operating Assets/Diversified Energy Co,Diversified Energy Co PLC,,,Completed,Chesapeake Utilities Corp
16-12-2021,HELI.V,First Helium Inc,6 km natural gas gathering pipeline/Worsley,,,,Completed,First Helium Inc
15-12-2021,TVE.TO,Tamarack Valley Energy Ltd,Crestwynd Exploration Ltd,,144.97,,Completed,Tamarack Valley Energy Ltd
14-12-2021,GTLS,Chart Industries Inc,Earthly Labs Inc,,62,,Completed,Chart Industries Inc
14-12-2021,ULBI,Ultralife Corp,Excell Battery Group,,23.5,,Completed,Ultralife Corp
14-12-2021,SHEL,Shell PLC,MS Europe BV,Multi Service Technology Solutions Inc,,,Completed,Shell PLC
13-12-2021,WTTR,Select Water Solutions Inc,Nuverra Environmental Solutions Inc,,56.34,,Completed,Select Water Solutions Inc
13-12-2021,TXNM,TXNM Energy Inc,Western Spirit transmission line,,,,Completed,TXNM Energy Inc
09-12-2021,LOMEF,Lithium One Metals Inc,Cyr-Kapiwak Lithium Project/The,,0.03,,Completed,Lithium One Metals Inc
09-12-2021,CHX,ChampionX Corp,"Tomson Technologies LLC,Group 2 Technologies LLC",,,,Completed,ChampionX Corp
08-12-2021,DEC,Diversified Energy Co PLC,Tapstone Energy Holdings LLC,Tapstone Energy Inc,181,,Completed,Diversified Energy Co PLC
08-12-2021,KRP,Kimbell Royalty Partners LP,Certain mineral & royalty asset,,57,,Completed,Kimbell Royalty Partners LP
07-12-2021,AMRC,Ameresco Inc,Juice Technologies Inc,,,,Completed,Ameresco Inc
07-12-2021,XOM,Exxon Mobil Corp,Materia Inc,,,,Completed,Exxon Mobil Corp
07-12-2021,BP,BP PLC,AMPLY Power Inc,"Siemens AG,Soros Fund Management LLC,Unknown Seller,Congruent Ventures (Fund: Congruent Ventures I LP),PeopleFund Inc,Obvious Management Services LLC (Fund: Obvious Ventures III LP)",,,Completed,BP PLC
07-12-2021,STS.V,South Star Battery Metals Corp,Ceylon Graphite Project/Alabama,"NH3 Clean Energy Ltd,US Critical Minerals LLC",,,Completed,South Star Battery Metals Corp
06-12-2021,WCP.TO,Whitecap Resources Inc,Eastern Saskatchewan Asset,,31.44,,Completed,Whitecap Resources Inc
06-12-2021,WCP.TO,Whitecap Resources Inc,Western Saskatchewan Asset,,31.31,,Completed,Whitecap Resources Inc
06-12-2021,SPIEF,SPI Energy Co Ltd,140000 sq ft solar plant/Sacramento,,,,Completed,SPI Energy Co Ltd
06-12-2021,GIFI,Gulf Island Fabrication Inc,Dynamic Industries Inc,"Riverstone Holdings LLC (Fund: Carlyle/Riverstone Global Energy & Power Fund III LP),Carlyle Group Inc/The (Fund: Carlyle MC Partners LP)",,,Completed,Gulf Island Fabrication Inc
03-12-2021,WCHEF,Winchester Energy Ltd,Varn Oil Field/Taylor County,,0.41,,Completed,Winchester Energy Ltd
03-12-2021,MVPT,MVP Holdings Inc,Echo Canyon Pipeline Holdings LLC,,,,Completed,MVP Holdings Inc
02-12-2021,OPAL,OPAL Fuels Inc,Opal Fuels LLC,,436,,Completed,OPAL Fuels Inc
02-12-2021,GIFI,Gulf Island Fabrication Inc,Services & industrial staffing businesses/Dynamic Industries Inc,Dynamic Group Holdings LLC,8,,Completed,Gulf Island Fabrication Inc
02-12-2021,CU.TO,Canadian Utilities Ltd,Natural gas storage facility/Alberta,"Iberdrola Canada Energy Services Ltd,Amphora Canada Gas Storage ULC",,,Completed,Canadian Utilities Ltd
01-12-2021,PHX,PHX Minerals Inc,172 net royalty acres/OK,,1.38,,Completed,PHX Minerals Inc
01-12-2021,PUQ.MU,Westbridge Renewable Energy Co,Sunnynook Solar Energy Inc,Altawest Development Corp,0.23,,Completed,Westbridge Renewable Energy Co
01-12-2021,8037.T,Kamei Corp,Daiei Trading Co Inc,,,,Completed,Kamei Corp
01-12-2021,YOKEF,Yokogawa Electric Corp,PXiSE Energy Solutions LLC,"Mitsui & Co Ltd,Sempra",,,Completed,Yokogawa Electric Corp
01-12-2021,CRGY,Crescent Energy Co,Oil & gas assets/Sunrise Oil & Gas Properties LLC,Sunrise Oil & Gas Properties LLC,,,Completed,Crescent Energy Co
30-11-2021,GCMG,GCM Grosvenor Inc,Resource Waste Services LLC,ReEnergy Holdings LLC,,,Completed,GCM Grosvenor Inc
30-11-2021,SING,Singlepoint Inc,Boston Solar,,,,Completed,Singlepoint Inc
29-11-2021,XFLS,Xfuels Inc,Jubilee Exploration LLC,,0.33,,Completed,Xfuels Inc
24-11-2021,PCQRF,Petrolympic Ltd,3 additional Mining Claims/Espanola,,0.01,,Completed,Petrolympic Ltd
23-11-2021,IEX,IDEX Corp,Nexsight LLC,,112.5,,Completed,IDEX Corp
22-11-2021,VD5N.SG,Zephyr Energy PLC,Portfolio of non-operated wells interest,Sanish Non-op LLC,36,,Completed,Zephyr Energy PLC
22-11-2021,ORSTED.CO,Orsted AS,Lincoln Land Wind,Ares Management LLC,,,Completed,Orsted AS
19-11-2021,CAVR,CAVU Resources Inc,RenuYou Neurofeedback Center of Tulsa,,,,Completed,CAVU Resources Inc
19-11-2021,MQBKY,Macquarie Group Ltd,Apex Energy LLC,,,,Completed,Macquarie Group Ltd
18-11-2021,ISUNQ,iSun Inc,Liberty Electric Inc/NH,,1,,Completed,iSun Inc
17-11-2021,NOG,Northern Oil and Gas Inc,non-operated Permian Basin assets,Veritas Energy LLC,406.5,,Completed,Northern Oil and Gas Inc
17-11-2021,CLOUD.OL,Cloudberry Clean Energy ASA,Captiva Group Inc,,12.64,,Completed,Cloudberry Clean Energy ASA
16-11-2021,NI41.F,TomCo Energy PLC,Tar Sands Holdings II LLC,,17.25,,Completed,TomCo Energy PLC
16-11-2021,OPTT,Ocean Power Technologies Inc,Marine Advanced Robotics Inc,,11.12,,Completed,Ocean Power Technologies Inc
16-11-2021,CAVR,CAVU Resources Inc,Trudant Financial Executive Services,,,,Completed,CAVU Resources Inc
16-11-2021,SAENF,Solar Alliance Energy Inc,298 KW solar project,Abundant Solar Power Inc,,,Completed,Solar Alliance Energy Inc
16-11-2021,ENPH,Enphase Energy Inc,ClipperCreek Inc,,,,Completed,Enphase Energy Inc
11-11-2021,CETY,Clean Energy Technologies Inc,Unnamed Target,Jiangsu Huanya Jieneng New Energy Co,,,Completed,Clean Energy Technologies Inc
10-11-2021,CRC.BE,Canadian Natural Resources Ltd,Storm Resources Ltd,,704.88,12.46,Completed,Canadian Natural Resources Ltd
09-11-2021,ADT,ADT Inc,Marc Jones Construction LLC,Compass Group Equity Partners LLC,824.49,,Completed,ADT Inc
09-11-2021,SDIG,Stronghold Digital Mining Inc,Panther Creek Energy Facility,,,,Completed,Stronghold Digital Mining Inc
08-11-2021,TRRVF,TerraVest Industries Inc,Green Energy Services Inc,,,,Completed,TerraVest Industries Inc
08-11-2021,TOH.V,Total Helium Ltd,Brooks Range Petroleum Corp,Brooks Energy Co,,,Completed,Total Helium Ltd
05-11-2021,SHEL,Shell PLC,"MSTS Payments LLC,Multi Service Fuel Card business",Multi Service Technology Solutions Inc,,,Completed,Shell PLC
03-11-2021,OBE,Obsidian Energy Ltd,Peace River Oil Partnership,,35.04,,Completed,Obsidian Energy Ltd
03-11-2021,XEBEQ,Xebec Adsorption Inc,Uec LLC,,,,Completed,Xebec Adsorption Inc
02-11-2021,GNRC,Generac Holdings Inc,ecobee Inc,"Caisse de Depot et Placement du Quebec,Export Development Canada,Business Development Bank of Canada,Evergy Ventures Inc,Private Investor,Just Energy Group Inc,AGL Energy Ltd,Ontario Capital Growth Corp,Thomvest Ventures Inc,Tech Capital Partners Inc,Northleaf Capital Partners Ltd (Fund: Edge...",650,,Completed,Generac Holdings Inc
02-11-2021,MONI,Moon Equity Holdings Corp,Minera Radiante SAC,,,,Completed,Moon Equity Holdings Corp
