institutionid,periodenddate,GHG_Emissions,Ticker
4000820,31-12-2016,1872488.354,
4000820,31-12-2017,2005996.898,MUR
4000820,31-12-2017,2005996.898,
4000820,31-12-2018,2689919.938,MUR
4000820,31-12-2018,2689919.938,
4000820,31-12-2019,1935610.961,MUR
4000820,31-12-2019,1935610.961,
4000820,31-12-2020,1166910,MUR
4000820,31-12-2020,1166910,
4000820,31-12-2021,925239,MUR
4000820,31-12-2021,925239,
4000820,31-12-2022,1056637.803,MUR
4000820,31-12-2022,1056637.803,
4000820,31-12-2023,1083441.793,MUR
4000820,31-12-2023,1083441.793,
4001616,31-12-2013,35070830.36,D
4001616,31-12-2014,31810838.45,D
4001616,31-12-2015,30886040.39,D
4001616,31-12-2016,32679003.94,D
4001616,31-12-2017,30334871.76,D
4001616,31-12-2018,27861580.72,D
4001616,31-12-2019,31929114.19,D
4001616,31-12-2020,33296118,D
4001616,31-12-2021,35030820.99,D
4001616,31-12-2022,33260819,D
4001616,31-12-2023,29523724,D
4002506,30-09-2016,338946.1485,SR
4002506,30-09-2017,381893.7076,SR
4002506,30-09-2018,407065.7515,SR
4002506,30-09-2019,400013.566,SR
4002506,30-09-2020,386908.443,SR
4002506,30-09-2021,451526.533,SR
4002506,30-09-2022,350968.517,SR
4002506,30-09-2023,356872.745,SR
4004107,31-12-2013,5859809.537,FCX
4004107,31-12-2014,5237173.338,FCX
4004107,31-12-2015,6158584.573,FCX
4004107,31-12-2016,5565692.837,FCX
4004107,31-12-2017,4677506.176,FCX
4004107,31-12-2018,5368637.711,FCX
4004107,31-12-2019,5065301.53,FCX
4004107,31-12-2020,4229894,FCX
4004107,31-12-2021,4575604.473,FCX
4004107,31-12-2022,4927858.545,FCX
4004107,31-12-2023,5139523,FCX
4004170,31-12-2013,56911042.13,CVX
4004170,31-12-2014,55746122.96,CVX
4004170,31-12-2015,58701000.07,CVX
4004170,31-12-2016,60072199.84,CVX
4004170,31-12-2017,62999999.09,CVX
4004170,31-12-2018,65999999.79,CVX
4004170,31-12-2019,59999999.98,CVX
4004170,31-12-2020,56000000,CVX
