Announce Date,Reference_Year,Ticker,Acquirer Name,Annual_Sales,Acquirer_GHG_Emissions,Carbon_Intensity,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,Deal Status
04-10-2023,2022,CIVI,Civitas Resources Inc,3791.398,1250800.0,329.9046947854063,Oil producing assets/Midland Basin,Vencer Energy LLC,2135.7,,Completed
27-09-2023,2022,CPK,Chesapeake Utilities Corp,680.704,215226.0,316.1814827002633,Florida City Gas Co,NextEra Energy Inc,923.0,,Completed
26-09-2023,2022,CPK,Chesapeake Utilities Corp,680.704,215226.0,316.1814827002633,Pivotal Utility Holdings Inc,Florida Power & Light Co,923.4,,Completed
18-09-2023,2022,GPRE,Green Plains Inc,3662.849,1296632.039,353.99549339871777,Green Plains Partners LP,,280.01,7.03,Completed
14-09-2023,2022,CVX,Chevron Corp,235717.0,53000000.0,224.84589571392814,ACES Delta project/Central,,,,Completed
12-09-2023,2022,FTV,Fortive Corp,5825.7,24419.553,4.191694217003965,Solmetric Corp,Vivint Solar Inc,,,Completed
12-09-2023,2022,CVX,Chevron Corp,235717.0,53000000.0,224.84589571392814,Magnum Development LLC,NGL Energy Partners LP,,,Completed
07-09-2023,2022,TS,Tenaris SA,11762.526,590.4629236,0.050198649813824,Pipe processing facility/Republic Tube LLC,Republic Tube LLC,,,Completed
06-09-2023,2022,ENB,Enbridge Inc,53309.0,7717086.429,144.76141794068542,Wexpro Co,Dominion Energy Inc,4300.0,,Completed
06-09-2023,2022,ENB,Enbridge Inc,53309.0,7717086.429,144.76141794068542,Public Service Co of North Carolina Inc,Dominion Energy Inc,3200.0,13.54,Completed
06-09-2023,2022,ENB,Enbridge Inc,53309.0,7717086.429,144.76141794068542,Questar Gas Co,Dominion Energy Inc,,,Completed
05-09-2023,2022,ENB,Enbridge Inc,53309.0,7717086.429,144.76141794068542,East Ohio Gas Co/The,Dominion Energy Inc,6600.0,,Completed
05-09-2023,2022,WES,Western Midstream Partners LP,3251.721,278766.1591,85.72880609990833,Meritage Midstream Services II LLC,Riverstone Holdings LLC,885.0,,Completed
23-08-2023,2022,FSV,FirstService Corp,3745.835,42324.019,11.298954438729949,Case Restoration Inc,,,,Completed
22-08-2023,2022,EQT,EQT Corp,6185.336,341957.7,55.28522621891519,"THQ Appalachia I LLC,THQ-XcL Holdings I Midco LLC",Quantum Energy Partners LLC,4498.28,,Completed
21-08-2023,2022,PR,Permian Resources Corp,2131.265,785931.983,368.763144423617,Earthstone Energy Inc,,2809.78,2.21,Completed
21-08-2023,2022,SPRU,Spruce Power Holding Corp,23.194,108.615,4.682892127274295,Portfolio of 2400 residential solar systems/California,,,,Completed
16-08-2023,2022,DINO,HF Sinclair Corp,38204.839,8525000.0,223.13927301198677,Holly Energy Partners LP,,3748.21,13.04,Completed
16-08-2023,2022,OXY,Occidental Petroleum Corp,36634.0,17551718.18,479.11006660479336,Carbon Engineering Ltd,"BHP Group Ltd,Airbus SE,Air Canada,Thomvest Ventures Inc,Lowercase Capital LLC (Fund: Lowercase Frontier LP),Starlight Ventures Inc,First Round Capital (Fund: First Round Capital VII LP),Oxy Low Carbon Ventures LLC,Bethel Lands Corp Ltd,Carbon Order Ltd,Rusheen Capital Management LLC,Chevron ...",813.12,,Completed
14-08-2023,2022,TS,Tenaris SA,11762.526,590.4629236,0.050198649813824,Pipeline Performance Group LLC,Mattr Corp,182.6,,Completed
11-08-2023,2022,AMRC,Ameresco Inc,1824.422,324048.0,177.61680137599743,Clean energy asset/Bright Canyon Energy Corp,Pinnacle West Capital Corp,,,Completed
02-08-2023,2022,NU,Eversource Energy,4792.231,67.3,0.014043563425886607,Community water system/Pinehills Water Co,Pinehills Water Co Inc,,,Completed
01-08-2023,2022,VST,Vistra Corp,13728.0,31607742.707216334,2302.4288102576,Tricor Group LLC,,,,Completed
19-07-2023,2022,AMPS,Altus Power Inc,101.163,440.413,4.35349880885304,4.4 MW operating solar assets/Southern California,Apollo Global Management Inc,,,Completed
18-07-2023,2022,BRY,Berry Corp,918.341,668476.66889703,727.9177003934594,Macpherson Energy Corp,,70.0,,Completed
13-07-2023,2022,XOM,Exxon Mobil Corp,398675.0,109000000.0,273.4056562362827,Denbury Inc,,4522.62,7.72,Completed
11-07-2023,2022,REI,Ring Energy Inc,347.2495,191090.0,550.295968748695,Central Basin Platform asset/Founders Oil & Gas IV LLC,Founders Oil & Gas IV LLC,75.0,,Completed
05-07-2023,2022,PTEN,Patterson-UTI Energy Inc,2647.592,272020.562,102.74262877361767,Ulterra Drilling Technologies LP,Blackstone Inc,773.48,,Completed
05-07-2023,2022,NXU,Nxu Inc,0.0,1258.648,,21000 sq ft facility/Tempe,,,,Completed
01-07-2023,2022,VTLE,Vital Energy Inc,1920.796,386367.84,201.14985662194215,Portfolio of basin assets/Tall City Property Holdings III LLC,Tall City Property Holdings III LLC,353.5,,Completed
30-06-2023,2022,CMI,Cummins Inc,28074.0,154826.967156536,5.514959291748094,Hydrogenics Corp,Air Liquide SA,,,Completed
30-06-2023,2022,NOG,Northern Oil and Gas Inc,1570.535,351378.5815,223.73177388596878,Delaware Basin assets/Forge Energy II LLC,Vital Energy Inc,,,Completed
20-06-2023,2022,CIVI,Civitas Resources Inc,3791.398,1250800.0,329.9046947854063,Hibernia Energy III LLC,NGP Energy Capital Management LLC,2250.0,,Completed
19-06-2023,2022,CIVI,Civitas Resources Inc,3791.398,1250800.0,329.9046947854063,Tap Rock Resources LLC,NGP Energy Capital Management LLC,2450.0,,Completed
