Ticker,Acquirer Name,Announce Date,Market_Cap_mil,Debt_to_Equity,ROA_percent,Status
ORSTED.CO,Orsted AS,24-01-2024,161874.53,,-2.06,Success
IHAI,Innovative Holdings Alliance Inc,24-01-2024,20.38,,-43.71,Success
SUN,Sunoco LP,22-01-2024,7147.35,,0.72,Success
FSLR,First Solar Inc,20-01-2024,,,3.24,Success
TALO,Talos Energy Inc,16-01-2024,2277.76,,-1.04,Success
PROP,Prairie Operating Co,12-01-2024,199.49,,-10.66,Success
EXE,Expand Energy Corp,11-01-2024,18000.49,,-1.43,Success
SUN,Sunoco LP,11-01-2024,7487.46,,0.72,Success
PROP,Prairie Operating Co,11-01-2024,192.92,,-10.66,Success
NVAE.MU,Electricity Generating PCL,11-01-2024,77.01,,-0.04,Success
BRK-B,Berkshire Hathaway Inc,07-01-2024,,,1.71,Success
APA,APA Corp,04-01-2024,11888.84,,1.83,Success
PPP.V,Prospector Metals Corp,03-01-2024,11.83,,-8.06,Success
CRC,California Resources Corp,01-01-2024,,,4.84,Success
HGHAF,High Arctic Energy Services Inc,28-12-2023,5.2,,82.55,Success
NFE,New Fortress Energy Inc,28-12-2023,10265.21,,0.08,Success
VTLE,Vital Energy Inc,22-12-2023,1733.77,,-6.11,Success
9158.T,CUC Inc,22-12-2023,70034.25,,1.74,Success
CPK,Chesapeake Utilities Corp,20-12-2023,2301.34,,1.02,Success
KGS,Kodiak Gas Services Inc,19-12-2023,1604.69,,-0.13,Success
TKGSY,Tokyo Gas Co Ltd,16-12-2023,,,1.4,Success
CDLR,Cadeler A/S,15-12-2023,,,1.51,Success
FOMI,Formation Minerals Inc,15-12-2023,74.33,,-308.36,Success
EEENF,88 Energy Ltd,15-12-2023,86.8,,,Success
SHEL,Shell PLC,14-12-2023,187015.37,,1.09,Success
OXY,Occidental Petroleum Corp,11-12-2023,52697.49,,-0.15,Success
WCN,Waste Connections Inc,11-12-2023,36278.35,,-0.99,Success
BYSD,Bayside Corp,08-12-2023,6.16,,,Success
ARRY,Array Technologies Inc,07-12-2023,2413.0,,-9.04,Success
3PS.F,Pason Systems Inc,05-12-2023,728.78,,2.75,Success
SUUN,SolarBank Corp,05-12-2023,,,-0.49,Success
PUMP,ProPetro Holding Corp,04-12-2023,935.74,,-1.39,Success
SRS.CN,Sorrento Resources Ltd,01-12-2023,4.35,,-4.38,Success
BP,BP PLC,30-11-2023,88514.76,,-0.69,Success
P4JC.F,ADM Energy PLC,29-11-2023,2.2,,,Success
U96.SI,Sembcorp Industries Ltd,27-11-2023,8863.2,,,Success
0IUS.L,Genie Energy Ltd,27-11-2023,672.24,,,Success
NOG,Northern Oil and Gas Inc,21-11-2023,3521.02,,1.28,Success
PTOS,P2 Solar Inc,21-11-2023,0.29,,-76.7,Success
CPX.TO,Capital Power Corp,21-11-2023,4732.83,,1.86,Success
PED,PEDEVCO Corp,15-11-2023,76.16,,2.55,Success
BEPC,Brookfield Renewable Corp,15-11-2023,4351.49,,,Success
MNR,Mach Natural Resources LP,13-11-2023,1699.96,,2.9,Success
AZG2.F,Acacia Research Corp,13-11-2023,323.26,,-1.98,Success
VRN,Veren Inc,06-11-2023,4655.45,,1.25,Success
ENB,Enbridge Inc,03-11-2023,68781.19,,0.27,Success
FET,Forum Energy Technologies Inc,03-11-2023,289.65,,-1.52,Success
TRRVF,TerraVest Industries Inc,03-11-2023,533.93,,3.18,Success
TAC,TransAlta Corp,02-11-2023,2272.62,,-0.41,Success
SUUN,SolarBank Corp,02-11-2023,,,-0.49,Success
COP,ConocoPhillips,02-11-2023,149058.88,,1.88,Success
RELIANCE.NS,Reliance Industries Ltd,01-11-2023,15439506.55,,1.02,Success
BIP,Brookfield Infrastructure Partners LP,01-11-2023,10959.75,,0.0,Success
PNE.TO,Pine Cliff Energy Ltd,31-10-2023,501.28,,-1.57,Success
AON,Aon PLC,28-10-2023,,,1.46,Success
KYSEY,Kyushu Electric Power Co Inc,26-10-2023,2995.96,,-0.36,Success
POWERINDIA.NS,Hitachi Energy India Ltd,24-10-2023,,,2.77,Success
BIP,Brookfield Infrastructure Partners LP,23-10-2023,10046.8,,0.0,Success
ORA,Ormat Technologies Inc,23-10-2023,3899.4,,0.72,Success
SING,Singlepoint Inc,19-10-2023,,,-30.61,Success
BLFR,BlueFire Equipment Corp,19-10-2023,1.32,,,Success
JAMGF,Tuktu Resources Ltd,18-10-2023,17.28,,-12.9,Success
TPET,Trio Petroleum Corp,18-10-2023,55.15,,-14.55,Success
TOU.TO,Tourmaline Oil Corp,16-10-2023,24766.14,,1.75,Success
SQRLE.XD,Squirrel Media SA,16-10-2023,,,,Success
HLX,Helix Energy Solutions Group Inc,13-10-2023,1621.05,,0.77,Success
XOM,Exxon Mobil Corp,11-10-2023,438858.51,,1.68,Success
CPX.TO,Capital Power Corp,10-10-2023,5003.91,,1.86,Success
