Announce Date,Reference_Year,Ticker,Acquirer Name,Annual_Sales (Million $),Acquirer_GHG_Emissions (Metric Tonnes),Carbon_Intensity,Acquirer_Classification,Target Name,Target_Classification,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_3_Date,T_minus_3_Price ($),T_plus_3_Date,T_plus_3_Price ($),Percent_Return,Deal Status
2023-12-20,2022,CPK,Chesapeake Utilities Corp,680.7,215226.0,199.8142,Brown,Propane Operating Assets/Jt Lee & Sons Inc,Neutral,JT Lee & Sons Inc,3.9,,2023-12-15,99.28,2023-12-26,103.77,4.52,Completed
2023-12-14,2022,SHEL,Shell PLC,381314.0,41006166.52,271.7385,Brown,Kaikias field/US Gulf of Mexico,Brown,Mitsui & Co Ltd,,,2023-12-08,60.95,2023-12-18,61.49,0.89,Completed
2023-12-11,2022,OXY,Occidental Petroleum Corp,36634.0,17551718.18,743.488,Brown,CrownRock LP,Brown,"Lime Rock Partners LLC,Crownquest Operating LLC",12000.0,,2023-12-07,55.22,2023-12-14,57.53,4.18,Completed
2023-12-11,2022,WCN,Waste Connections Inc,7211.86,4812957.0,667.367,Brown,29 facilities/Secure Energy Services Inc,Green,Secure Waste Infrastructure Co,791.74,,2023-12-07,137.46,2023-12-14,146.29,6.42,Completed
2023-12-07,2022,ARRY,Array Technologies Inc,1637.55,287.0,0.1753,Green,Litigation Solutions Inc,Neutral,,,,2023-12-01,16.27,2023-12-11,16.39,0.74,Completed
2023-12-04,2022,PUMP,ProPetro Holding Corp,1279.7,245111.5,18.1255,Green,PAR Five Energy Services LLC,Brown,,25.4,,2023-11-30,9.11,2023-12-07,8.28,-9.11,Completed
2023-11-21,2022,NOG,Northern Oil and Gas Inc,1570.54,351378.58,863.4427,Brown,Core non operated properties/Northern Delaware,Neutral,,162.6,,2023-11-17,35.28,2023-11-24,35.56,0.8,Completed
2023-11-06,2022,VRN,Veren Inc,3512.3,719333.0,502.3677,Brown,Hammerhead Energy Inc,Green,,1710.59,,2023-11-02,8.03,2023-11-09,6.61,-17.67,Completed
2023-11-03,2022,ENB,Enbridge Inc,53309.0,7717086.43,82.1969,Brown,7 Operating landfill gas-to-RNG facilities/Morrow Renewables,Green,Morrow Renewables LLC,1200.0,,2023-10-30,29.73,2023-11-06,31.58,6.25,Completed
2023-11-03,2022,FET,Forum Energy Technologies Inc,699.91,8352.06,13.5253,Green,Variperm Energy Services Inc,Brown,,155.28,,2023-10-30,21.91,2023-11-06,24.2,10.45,Completed
2023-11-02,2022,COP,ConocoPhillips,78494.0,4988534.87,332.2106,Brown,Torys LLP,Neutral,,,,2023-10-27,113.1,2023-11-06,113.74,0.57,Completed
2023-11-01,2022,BIP,Brookfield Infrastructure Partners LP,14427.0,2453832.9,120.732,Brown,Portfolio of 2 Data centres/Silicon Valley,Neutral,Digital Core REIT Management Pte Ltd,160.2,,2023-10-27,20.23,2023-11-06,25.56,26.32,Completed
2023-10-23,2022,BIP,Brookfield Infrastructure Partners LP,14427.0,2453832.9,120.732,Brown,Data centers/Cyxtera Technologies Inc,Neutral,Cyxtera Technologies Inc,775.0,,2023-10-19,22.39,2023-10-26,21.28,-4.94,Completed
2023-10-23,2022,ORA,Ormat Technologies Inc,734.16,192441.77,256.4417,Brown,Portfolio of 150 MW Operating Geothermal & Solar Assets/Nevada,Green,Enel SpA,271.0,,2023-10-19,66.65,2023-10-26,62.8,-5.78,Completed
2023-10-13,2022,HLX,Helix Energy Solutions Group Inc,873.1,226639.44,24.3523,Green,Plugging & Abandonment Business/QuarterNorth Energy LLC,Brown,QuarterNorth Energy LLC,,,2023-10-09,10.39,2023-10-16,10.8,3.95,Completed
2023-10-11,2022,XOM,Exxon Mobil Corp,398675.0,109000000.0,598.3284,Brown,Pioneer Natural Resources Co,Brown,,67995.45,5.39,2023-10-06,101.79,2023-10-16,104.43,2.59,Completed
2023-10-09,2022,VTS,Vitesse Energy Inc,300.07,43.78,0.1459,Green,Williston Basin/North Dakota,Neutral,,,,2023-10-05,18.71,2023-10-12,19.56,4.5,Completed
2023-10-05,2022,XIFR,XPLR Infrastructure LP,969.0,90846.35,5.287,Green,South Texas Midstream LLC,Brown,,,,2023-09-29,25.03,2023-10-09,17.34,-30.71,Completed
2023-10-04,2022,CIVI,Civitas Resources Inc,3791.4,1250800.0,354.6455,Brown,Oil producing assets/Midland Basin,Brown,Vencer Energy LLC,2135.7,,2023-09-29,71.66,2023-10-09,64.15,-10.49,Completed
2023-09-27,2022,CPK,Chesapeake Utilities Corp,680.7,215226.0,199.8142,Brown,Florida City Gas Co,Brown,NextEra Energy Inc,923.0,,2023-09-22,103.69,2023-10-02,89.04,-14.13,Completed
2023-09-26,2022,CPK,Chesapeake Utilities Corp,680.7,215226.0,199.8142,Brown,Pivotal Utility Holdings Inc,Brown,Florida Power & Light Co,923.4,,2023-09-22,103.69,2023-09-29,94.61,-8.76,Completed
2023-09-18,2022,GPRE,Green Plains Inc,3662.85,1296632.04,373.7611,Brown,Green Plains Partners LP,Green,,280.01,7.03,2023-09-14,34.15,2023-09-21,30.62,-10.34,Completed
2023-09-14,2022,CVX,Chevron Corp,235717.0,53000000.0,478.9338,Brown,ACES Delta project/Central,Green,,,,2023-09-08,156.9,2023-09-18,156.91,0.01,Completed
2023-09-12,2022,FTV,Fortive Corp,5825.7,24419.55,4.1917,Green,Solmetric Corp,Green,Vivint Solar Inc,,,2023-09-08,77.07,2023-09-15,75.51,-2.02,Completed
2023-09-12,2022,CVX,Chevron Corp,235717.0,53000000.0,478.9338,Brown,Magnum Development LLC,Brown,NGL Energy Partners LP,,,2023-09-08,156.9,2023-09-15,156.23,-0.42,Completed
2023-09-07,2022,TS,Tenaris SA,11762.53,590.46,0.0502,Green,Pipe processing facility/Republic Tube LLC,Neutral,Republic Tube LLC,,,2023-09-01,30.75,2023-09-11,30.59,-0.5,Completed
2023-09-06,2022,ENB,Enbridge Inc,53309.0,7717086.43,82.1969,Brown,Wexpro Co,Brown,Dominion Energy Inc,4300.0,,2023-09-01,33.13,2023-09-11,31.45,-5.07,Completed
2023-09-06,2022,ENB,Enbridge Inc,53309.0,7717086.43,82.1969,Brown,Public Service Co of North Carolina Inc,Brown,Dominion Energy Inc,3200.0,13.54,2023-09-01,33.13,2023-09-11,31.45,-5.07,Completed
2023-09-06,2022,ENB,Enbridge Inc,53309.0,7717086.43,82.1969,Brown,Questar Gas Co,Brown,Dominion Energy Inc,,,2023-09-01,33.13,2023-09-11,31.45,-5.07,Completed
2023-09-05,2022,ENB,Enbridge Inc,53309.0,7717086.43,82.1969,Brown,East Ohio Gas Co/The,Brown,Dominion Energy Inc,6600.0,,2023-09-01,33.13,2023-09-08,31.29,-5.55,Completed
2023-09-05,2022,WES,Western Midstream Partners LP,3251.72,278766.16,3.0762,Green,Meritage Midstream Services II LLC,Brown,Riverstone Holdings LLC,885.0,,2023-09-01,23.75,2023-09-08,22.78,-4.1,Completed
2023-08-23,2022,FSV,FirstService Corp,3745.84,42324.02,11.299,Green,Case Restoration Inc,Neutral,,,,2023-08-18,145.51,2023-08-28,147.68,1.49,Completed
2023-08-22,2022,EQT,EQT Corp,6185.34,341957.7,258.5549,Brown,"THQ Appalachia I LLC,THQ-XcL Holdings I Midco LLC",Neutral,Quantum Energy Partners LLC,4498.28,,2023-08-18,42.42,2023-08-25,41.02,-3.29,Completed
2023-08-21,2022,PR,Permian Resources Corp,2131.26,785931.98,369.5357,Brown,Earthstone Energy Inc,Brown,,2809.78,2.21,2023-08-17,11.75,2023-08-24,12.35,5.18,Completed
2023-08-21,2022,SPRU,Spruce Power Holding Corp,23.19,108.62,11.9472,Green,Portfolio of 2400 residential solar systems/California,Green,,,,2023-08-17,6.36,2023-08-24,6.56,3.14,Completed
2023-08-16,2022,DINO,HF Sinclair Corp,38204.84,8525000.0,489.9119,Brown,Holly Energy Partners LP,Brown,,3748.21,13.04,2023-08-11,55.2,2023-08-21,53.3,-3.44,Completed
2023-08-16,2022,OXY,Occidental Petroleum Corp,36634.0,17551718.18,743.488,Brown,Carbon Engineering Ltd,Green,"BHP Group Ltd,Airbus SE,Air Canada,Thomvest Ventures Inc,Lowercase Capital LLC (Fund: Lowercase Frontier LP),Starlight Ventures Inc,First Round Capital (Fund: First Round Capital VII LP),Oxy Low Carbon Ventures LLC,Bethel Lands Corp Ltd,Carbon Order Ltd,Rusheen Capital Management LLC,Chevron ...",813.12,,2023-08-11,64.08,2023-08-21,62.03,-3.2,Completed
2023-08-14,2022,TS,Tenaris SA,11762.53,590.46,0.0502,Green,Pipeline Performance Group LLC,Brown,Mattr Corp,182.6,,2023-08-10,32.0,2023-08-17,31.42,-1.81,Completed
2023-08-11,2022,AMRC,Ameresco Inc,1824.42,324048.0,23.7158,Green,Clean energy asset/Bright Canyon Energy Corp,Green,Pinnacle West Capital Corp,,,2023-08-07,51.37,2023-08-14,51.14,-0.45,Completed
2023-08-02,2022,NU,Eversource Energy,4792.23,67.3,0.014,Green,Community water system/Pinehills Water Co,Neutral,Pinehills Water Co Inc,,,2023-07-28,7.9,2023-08-07,7.84,-0.76,Completed
2023-08-01,2022,VST,Vistra Corp,13728.0,31607742.71,10124.5707,Brown,Tricor Group LLC,Neutral,,,,2023-07-28,27.07,2023-08-04,27.87,2.96,Completed
2023-07-19,2022,AMPS,Altus Power Inc,101.16,440.41,4.3535,Green,4.4 MW operating solar assets/Southern California,Green,Apollo Global Management Inc,,,2023-07-14,5.84,2023-07-24,6.51,11.47,Completed
2023-07-18,2022,BRY,Berry Corp,918.34,668476.67,1537.2871,Brown,Macpherson Energy Corp,Brown,,70.0,,2023-07-14,6.1,2023-07-21,6.3,3.18,Completed
2023-07-13,2022,XOM,Exxon Mobil Corp,398675.0,109000000.0,598.3284,Brown,Denbury Inc,Brown,,4522.62,7.72,2023-07-07,97.18,2023-07-17,95.5,-1.73,Completed
2023-07-11,2022,REI,Ring Energy Inc,347.25,191090.0,479.2399,Brown,Central Basin Platform asset/Founders Oil & Gas IV LLC,Brown,Founders Oil & Gas IV LLC,75.0,,2023-07-07,1.8,2023-07-14,2.01,11.67,Completed
2023-07-05,2022,PTEN,Patterson-UTI Energy Inc,2647.59,272020.56,105.9872,Brown,Ulterra Drilling Technologies LP,Brown,Blackstone Inc,773.48,,2023-06-30,11.34,2023-07-10,12.65,11.61,Completed
2023-07-01,2022,VTLE,Vital Energy Inc,1920.8,386367.84,201.1499,Brown,Portfolio of basin assets/Tall City Property Holdings III LLC,Brown,Tall City Property Holdings III LLC,353.5,,2023-06-27,43.1,2023-07-05,45.75,6.15,Completed
2023-06-30,2022,CMI,Cummins Inc,28074.0,154826.97,12.8716,Green,Hydrogenics Corp,Green,Air Liquide SA,,,2023-06-26,224.45,2023-07-03,238.02,6.05,Completed
2023-06-30,2022,NOG,Northern Oil and Gas Inc,1570.54,351378.58,863.4427,Brown,Delaware Basin assets/Forge Energy II LLC,Neutral,Vital Energy Inc,,,2023-06-26,30.3,2023-07-03,32.2,6.27,Completed
2023-06-20,2022,CIVI,Civitas Resources Inc,3791.4,1250800.0,354.6455,Brown,Hibernia Energy III LLC,Brown,NGP Energy Capital Management LLC,2250.0,,2023-06-16,60.18,2023-06-23,56.27,-6.5,Completed
2023-06-19,2022,CIVI,Civitas Resources Inc,3791.4,1250800.0,354.6455,Brown,Tap Rock Resources LLC,Brown,NGP Energy Capital Management LLC,2450.0,,2023-06-15,60.03,2023-06-22,56.24,-6.32,Completed
2023-06-15,2022,PTEN,Patterson-UTI Energy Inc,2647.59,272020.56,105.9872,Brown,NexTier Oilfield Solutions Inc,Neutral,,2106.35,3.72,2023-06-09,10.71,2023-06-20,10.99,2.56,Completed
2023-06-15,2022,NOG,Northern Oil and Gas Inc,1570.54,351378.58,863.4427,Brown,Delaware basin assets/Northern,Green,Earthstone Energy Inc,468.4,,2023-06-09,30.58,2023-06-20,30.79,0.67,Completed
2023-06-01,2022,CEG,Constellation Energy Corp,24440.0,9108347.0,579.5398,Brown,South Texas Project Electric Generating Station/Houston,Brown,NRG Energy Inc,1750.0,,2023-05-26,82.7,2023-06-05,86.31,4.36,Completed
2023-05-26,2022,COP,ConocoPhillips,78494.0,4988534.87,332.2106,Brown,Surmont Sand & Gravel Ltd,Brown,TotalEnergies SE,3000.0,,2023-05-22,98.07,2023-05-30,95.68,-2.44,Completed
2023-05-22,2022,CVX,Chevron Corp,235717.0,53000000.0,478.9338,Brown,PDC Energy Inc,Brown,,7874.41,2.66,2023-05-18,143.14,2023-05-25,143.65,0.36,Completed
2023-05-12,2022,VTLE,Vital Energy Inc,1920.8,386367.84,201.1499,Brown,Forge Energy II LLC,Neutral,EnCap Investments LP,378.0,,2023-05-08,43.76,2023-05-15,42.24,-3.47,Completed
2023-05-04,2022,SUN,Sunoco LP,25729.0,106370.67,5.8905,Green,16 refined product terminals/East Coast & Midwes,Neutral,Zenith Energy Ltd,110.0,,2023-04-28,39.79,2023-05-08,38.96,-2.1,Completed
2023-05-03,2022,CRGY,Crescent Energy Co,3057.06,1123252.0,367.4282,Brown,Western Eagle Ford asset/US,Neutral,Mesquite Exploration Ltd,600.0,,2023-04-28,10.69,2023-05-08,10.03,-6.2,Completed
2023-05-01,2022,ENB,Enbridge Inc,53309.0,7717086.43,82.1969,Brown,"Aitken Creek natural gas storage facility/British Columbia,Aitken Creek North gas storage facility/British Columbia",Brown,Fortis Inc/Canada,295.56,,2023-04-27,35.42,2023-05-04,35.38,-0.1,Completed
2023-04-28,2022,TRP,TC Energy Corp,12309.0,21133585.11,1386.3467,Brown,155 MW Fluvanna Wind Farm/Scurry County,Green,,99.0,,2023-04-24,36.49,2023-05-01,37.43,2.56,Completed
2023-04-27,2022,SU,Suncor Energy Inc,58336.0,16817507.15,238.9831,Brown,TotalEnergies EP Canada Ltd,Brown,TotalEnergies SE,1078.1,,2023-04-21,28.4,2023-05-01,28.77,1.31,Completed
2023-04-20,2022,WULF,Terawulf Inc,15.03,49.2,3.2731,Green,Nautilus Cryptomine facility,Brown,Cumulus Coin LLC,,,2023-04-14,1.44,2023-04-24,1.43,-0.69,Completed
2023-04-12,2022,WHD,Cactus Inc,688.37,8664.04,12.5863,Green,Flexsteel Pipeline Technologies Inc,Brown,,,,2023-04-06,40.59,2023-04-17,41.4,2.0,Completed
2023-04-11,2022,D,Dominion Energy Inc,13938.0,16875266.4,2673.0816,Brown,108 MWdc Foxhound Solar project/Longroad Energy Holdings LLC,Green,Longroad Energy Holdings LLC,,,2023-04-06,52.38,2023-04-14,52.26,-0.22,Completed
2023-04-10,2022,LBRT,Liberty Energy Inc,4149.23,1995196.0,17.1572,Green,Siren Energy LLC,Green,,75.7,,2023-04-06,12.91,2023-04-13,13.0,0.68,Completed
2023-04-03,2022,OVV,Ovintiv Inc,12464.0,2871927.31,817.409,Brown,"PetroLegacy Energy I LLC,Piedra Resources LLC,Black Swan Oil & Gas LLC",Brown,EnCap Investments LP,4321.93,,2023-03-30,33.26,2023-04-06,36.94,11.05,Completed
2023-03-28,2022,VRN,Veren Inc,3512.3,719333.0,502.3677,Brown,Spartans oil & liquids-rich Montney assets/Spartan Delta Corp,Brown,Spartan Delta Corp,1249.5,,2023-03-24,5.99,2023-03-31,6.57,9.63,Completed
2023-03-24,2022,SPRU,Spruce Power Holding Corp,23.19,108.62,11.9472,Green,SS Holdings 2017 LLC,Neutral,,,,2023-03-20,6.3,2023-03-27,6.24,-1.02,Completed
2023-03-08,2022,KLXE,KLX Energy Services Holdings Inc,781.6,12508.74,16.004,Green,Greene's Energy Group LLC,Brown,Denham Capital Management LP,,,2023-03-03,14.46,2023-03-13,13.2,-8.71,Completed
2023-03-06,2022,VST,Vistra Corp,13728.0,31607742.71,10124.5707,Brown,Energy Harbor Corp,Green,,6763.0,,2023-03-02,20.46,2023-03-09,24.69,20.67,Completed
2023-03-03,2022,EQNR,Equinor ASA,149004.0,11434603.14,152.8418,Brown,Suncor Energy UK Ltd,Green,Suncor Energy Inc,882.48,,2023-02-27,25.4,2023-03-06,25.31,-0.39,Completed
2023-03-02,2022,PLUG,Plug Power Inc,701.44,17435.66,44.3565,Brown,Alloy Custom Products LLC,Brown,Cryogenic Industrial Solutions LLC,,,2023-02-24,14.18,2023-03-06,13.67,-3.6,Completed
2023-03-02,2022,PLUG,Plug Power Inc,701.44,17435.66,44.3565,Brown,WesMor Cryogenics LLC,Brown,Cryogenic Industrial Solutions LLC,,,2023-02-24,14.18,2023-03-06,13.67,-3.6,Completed
2023-02-28,2022,REPX,Riley Exploration Permian Inc,321.74,46928.07,145.8557,Brown,Oil & gas assets/Pecos Oil & Gas LLC,Brown,Pecos Oil & Gas LLC,330.0,,2023-02-24,27.6,2023-03-03,30.1,9.07,Completed
2023-02-16,2022,DNOW,DNOW Inc,2136.0,19243.0,23.8097,Green,EcoVapor Recovery Systems LLC,Green,,,,2023-02-10,14.29,2023-02-21,12.42,-13.09,Completed
2023-02-15,2022,VTLE,Vital Energy Inc,1920.8,386367.84,201.1499,Brown,Driftwood Energy Operating LLC,Brown,,212.94,,2023-02-10,55.16,2023-02-21,47.22,-14.39,Completed
2023-02-06,2022,GLNG,Golar LNG Ltd,267.74,777147.65,2902.6206,Brown,2.4 MTPA floating liquefaction facility,Neutral,New Fortress Energy Inc,193.72,,2023-02-02,21.75,2023-02-09,21.88,0.6,Completed
2023-01-24,2022,MTDR,Matador Resources Co,3039.22,973869.0,471.645,Brown,Advance Energy Partners Holdings LLC,Neutral,EnCap Investments LP,1600.0,,2023-01-20,59.69,2023-01-27,65.12,9.1,Completed
2023-01-18,2022,SHEL,Shell PLC,381314.0,41006166.52,271.7385,Brown,Volta Inc,Neutral,,149.16,,2023-01-13,54.45,2023-01-23,53.56,-1.64,Completed
2023-01-18,2022,DUK,Duke Energy Corp,28768.0,78800000.0,5571.7764,Brown,Pike Engineering LLC,Brown,,,,2023-01-13,95.72,2023-01-23,92.08,-3.8,Completed
2023-01-05,2022,PSX,Phillips 66,169990.0,27764607.2,137.7066,Brown,DCP Midstream LP,Brown,,3783.87,7.47,2022-12-30,96.01,2023-01-09,94.1,-1.99,Completed
2023-01-04,2022,HASI,HA Sustainable Infrastructure,239.74,0.0,0.0,Green,Portfolio of 1.3 GW renewables/US,Green,AES Corp/The,,,2022-12-30,25.66,2023-01-09,27.78,8.25,Completed
2023-01-03,2022,TRGP,Targa Resources Corp,20929.8,8434072.29,413.3712,Brown,Grand Prix NGL Pipeline,Brown,Blackstone Inc,1050.0,,2022-12-30,69.94,2023-01-06,69.56,-0.54,Completed
2023-01-03,2022,AMPS,Altus Power Inc,101.16,440.41,4.3535,Green,220 mw solar assets/True Green Capital Management LLC,Green,True Green Capital Management LLC,293.0,,2022-12-30,6.52,2023-01-06,6.96,6.75,Completed
2023-01-03,2022,SHEL,Shell PLC,381314.0,41006166.52,271.7385,Brown,TF Hudgins Inc,Brown,CapStreet Group LLC/The,,,2022-12-30,52.02,2023-01-06,52.3,0.53,Completed
2022-12-21,2021,AM,Antero Midstream Corp,898.2,850474.99,946.8638,Brown,Certain compression assets/Utica,Neutral,EnLink Midstream LLC,10.0,,2022-12-16,9.02,2022-12-27,9.37,3.88,Completed
2022-12-19,2021,LINK,Interlink Electronics Inc,7.48,1280.43,171.2263,Brown,"KWJ Engineering Inc,Spec Sensors LLC",Brown,,2.0,,2022-12-15,6.06,2022-12-22,5.9,-2.64,Completed
2022-12-17,2021,CPK,Chesapeake Utilities Corp,569.97,221805.0,199.8142,Brown,Propane operating assets/Hernando Gas LLC,Neutral,Hernando Gas LLC,,,2022-12-13,113.92,2022-12-20,112.37,-1.36,Completed
2022-12-06,2021,NRG,NRG Energy Inc,26989.0,18279398.4,6792.4745,Brown,Vivint Smart Home Inc,Neutral,,5017.07,9.53,2022-12-02,38.5,2022-12-09,30.13,-21.75,Completed
2022-11-28,2021,PATK,Patrick Industries Inc,4078.09,62251.64,15.2649,Green,Transhield Inc,Neutral,Ancor Holdings LP,,,2022-11-23,34.41,2022-12-01,36.23,5.27,Completed
2022-11-18,2021,CVX,Chevron Corp,155606.0,28582001.82,478.9338,Brown,Beyond6 LLC,Neutral,,,,2022-11-14,168.89,2022-11-21,165.35,-2.09,Completed
2022-11-18,2021,CVX,Chevron Corp,155606.0,28582001.82,478.9338,Brown,Beyond6 LLC,Green,"Mercuria Energy Trading Inc,Unknown Seller",,,2022-11-14,168.89,2022-11-21,165.35,-2.09,Completed
2022-11-16,2021,FANG,Diamondback Energy Inc,5567.0,1253208.51,284.1958,Brown,Lario Permian LLC,Brown,Lario Oil & Gas Co,1494.76,,2022-11-11,146.04,2022-11-21,135.1,-7.49,Completed
2022-11-15,2021,CMC,Commercial Metals Co,6729.76,49.52,0.0074,Green,Metals recycling facility & related assets/Galveston,Neutral,"Kodiak Properties LLC,Kodiak Resources Inc",,,2022-11-11,44.71,2022-11-18,46.07,3.04,Completed
2022-11-11,2021,AIV,Apartment Investment and Management Co,172.11,2054.3,11.9357,Green,Howard Energy Partners,Brown,,,,2022-11-07,6.9,2022-11-14,7.12,3.25,Completed
2022-11-07,2021,CPK,Chesapeake Utilities Corp,569.97,221805.0,199.8142,Brown,Planet Found Energy Development LLC,Brown,,9.4,,2022-11-03,103.98,2022-11-10,104.65,0.64,Completed
2022-11-06,2021,KMI,Kinder Morgan Inc,16610.0,14100000.0,169.5854,Brown,STX Midstream pipeline/NextEra Energy Partners LP,Brown,XPLR Infrastructure LP,1831.0,,2022-11-02,15.68,2022-11-09,15.4,-1.79,Completed
2022-11-02,2021,PUMP,ProPetro Holding Corp,874.51,14877.68,18.1255,Green,Silvertip Completion Services,Green,,136.16,,2022-10-28,11.47,2022-11-07,12.1,5.49,Completed
2022-11-02,2021,CEG,Constellation Energy Corp,19649.0,11387377.59,579.5398,Brown,Rebate Business/Bill Identity Ltd,Neutral,Optima Technology Group Ltd,2.8,,2022-10-28,91.67,2022-11-07,91.43,-0.27,Completed
2022-11-02,2021,WTTR,Select Water Solutions Inc,764.62,335852.06,93.8009,Brown,"Breakwater Energy Partners LLC,Breakwater & water pipeline assets/Cypress Environmental Services LLC",Green,Cypress Environmental Partners,,,2022-10-28,8.57,2022-11-07,8.79,2.56,Completed
2022-10-27,2021,ARIS,Aris Water Solution Inc,229.25,19451.67,84.8488,Brown,Intellectual property rights and related proprietary treatment technologies,Neutral,Water Standard Management US Inc,,,2022-10-21,13.07,2022-10-31,15.78,20.78,Completed
2022-10-26,2021,BH,Biglari Holdings Inc,366.11,6418.04,17.5306,Green,Abraxas Petroleum Corp,Brown,,54.9,1.2,2022-10-21,131.5,2022-10-31,137.95,4.9,Completed
2022-10-26,2021,PROP,Prairie Operating Co,0.81,301.26,373.0305,Brown,Prairie Operating Co LLC,Green,,28.2,,2022-10-21,4.74,2022-10-31,4.71,-0.62,Completed
2022-10-26,2021,NOA,North American Construction Group Ltd,654.14,10842.84,16.5756,Green,ML Northern Services Ltd,Brown,,11.06,,2022-10-21,10.65,2022-10-31,12.08,13.4,Completed
2022-10-18,2021,D,Dominion Energy Inc,13964.0,15471297.2,2673.0816,Brown,Energy Storage Project/East Point Energy,Green,East Point Energy LLC,,,2022-10-14,56.68,2022-10-21,57.76,1.9,Completed
2022-10-12,2021,FANG,Diamondback Energy Inc,5567.0,1253208.51,284.1958,Brown,Firebird Energy LLC,Brown,,1555.05,,2022-10-07,126.56,2022-10-17,123.92,-2.09,Completed
2022-10-11,2021,NOG,Northern Oil and Gas Inc,496.9,342025.42,863.4427,Brown,Non operated interests/Northern Delaware Basin,Neutral,,130.0,,2022-10-07,29.76,2022-10-14,28.91,-2.84,Completed
2022-10-01,2021,NOA,North American Construction Group Ltd,654.14,10842.84,16.5756,Green,ML Northern Services Ltd,Neutral,,,,2022-09-27,9.03,2022-10-04,9.7,7.42,Completed
2022-09-30,2021,NOG,Northern Oil and Gas Inc,496.9,342025.42,863.4427,Brown,Non operated interests/Delaware Basin,Neutral,Alpha Energy Partners LLC,157.5,,2022-09-26,21.99,2022-10-03,26.82,21.96,Completed
2022-09-29,2021,DTM,DT Midstream Inc,840.0,39311.39,46.7993,Brown,Millennium Pipeline Co LLC,Brown,National Grid PLC,552.0,,2022-09-23,45.69,2022-10-03,47.2,3.3,Completed
2022-09-29,2021,DTM,DT Midstream Inc,840.0,39311.39,46.7993,Brown,Millennium Pipeline/US,Brown,National Grid PLC,552.0,,2022-09-23,45.69,2022-10-03,47.2,3.3,Completed
2022-09-29,2021,BN,Brookfield Corp,75731.0,778802.78,21.4077,Green,Standard Solar Inc,Green,Energir Inc,530.0,,2022-09-23,34.71,2022-10-03,33.42,-3.72,Completed
2022-09-29,2021,ENB,Enbridge Inc,47071.0,7431128.0,82.1969,Brown,Tri Global Energy LLC,Green,"Altius Minerals Corp,Unknown Seller",270.0,,2022-09-23,33.18,2022-10-03,33.55,1.1,Completed
2022-09-23,2021,ETR,Entergy Corp,11742.9,35663689.0,3003.6345,Brown,475 MW Solar Gnerating capacity/US,Green,,,,2022-09-19,49.86,2022-09-26,46.81,-6.1,Completed
2022-09-22,2021,TALO,Talos Energy Inc,1212.5,1143630.47,943.1981,Brown,Enven Energy Corp,Neutral,,1108.47,,2022-09-16,20.31,2022-09-26,15.09,-25.7,Completed
2022-09-13,2021,AM,Antero Midstream Corp,898.2,850474.99,946.8638,Brown,Marcellus natural gas gathering & compression assets/West Virginia,Brown,Crestwood Equity Partners LP,205.0,,2022-09-09,8.48,2022-09-16,8.41,-0.89,Completed
2022-09-12,2021,ARKO,Arko Corp,7417.4,79943.64,10.7779,Green,Transit Energy Group LLC,Neutral,,370.0,,2022-09-08,9.69,2022-09-15,9.76,0.69,Completed
2022-09-09,2021,SPRU,Spruce Power Holding Corp,15.6,179.52,11.9472,Green,Spruce Power Holdings LLC,Green,HPS Investment Partners LLC,58.0,,2022-09-02,8.96,2022-09-12,9.76,8.93,Completed
2022-09-07,2021,EQT,EQT Corp,4680.89,319886.0,258.5549,Brown,"Upstream assets/THQ Appalachia I LLC,Gathering & processing assets/THQ-XcL Holdings I LLC",Neutral,Quantum Energy Partners LLC,4939.63,,2022-09-02,45.39,2022-09-12,48.29,6.39,Completed
2022-08-18,2021,ENB,Enbridge Inc,47071.0,7431128.0,82.1969,Brown,Gray Oak Pipeline LLC,Brown,Phillips 66,,,2022-08-12,37.97,2022-08-22,37.49,-1.24,Completed
2022-08-17,2021,NOG,Northern Oil and Gas Inc,496.9,342025.42,863.4427,Brown,Non operated interests/Midland Basin,Neutral,,110.0,,2022-08-12,26.82,2022-08-22,28.19,5.09,Completed
2022-08-15,2021,BKR,Baker Hughes Co,20502.0,391346.0,19.0882,Green,Quest Integrity Group LLC,Brown,Team Inc,280.0,,2022-08-11,23.78,2022-08-18,23.5,-1.15,Completed
2022-08-11,2021,KMI,Kinder Morgan Inc,16610.0,14100000.0,169.5854,Brown,North American Natural Resources Inc,Green,,135.0,,2022-08-05,15.07,2022-08-15,16.01,6.3,Completed
2022-08-09,2021,DVN,Devon Energy Corp,12206.0,1543105.45,708.9498,Brown,Validus Energy Aquilas Assetco LLC,Brown,,1800.0,,2022-08-05,48.98,2022-08-12,56.67,15.71,Completed
2022-08-09,2021,APA,APA Corp,8079.0,6257760.46,774.5712,Brown,Mining properties/Texas Delaware Basin,Neutral,,505.0,,2022-08-05,29.46,2022-08-12,32.2,9.29,Completed
2022-08-09,2021,EVRG,Evergy Inc,5586.7,26540373.0,4750.6351,Brown,199 MW Persimmon creek wind Farm/Oklahoma,Green,"Gestamp Eolica SL,Scout Clean Energy LLC",250.0,,2022-08-05,60.23,2022-08-12,62.95,4.51,Completed
