Announce Date,Reference_Year,Ticker,Acquirer Name,Annual_Sales (Million $),Acquirer_GHG_Emissions (Metric Tonnes),Carbon_Intensity,Acquirer_Classification,Target Name,Target_Classification,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_3_Date,T_minus_3_Price ($),T_plus_3_Date,T_plus_3_Price ($),Percent_Return,Deal Status
2021-10-27,2020,LBRT,Liberty Energy Inc,965.79,16570.24,17.1572,Green,PropX/Denver,Neutral,,90.0,,2021-10-22,14.48,2021-11-01,12.62,-12.86,Completed
2021-10-26,2020,WFG,West Fraser Timber Co Ltd,5850.0,727714.0,124.3956,Brown,Oriented strand board mill/South Carolina,Neutral,,280.0,,2021-10-22,81.19,2021-10-29,76.62,-5.64,Completed
2021-10-22,2020,XIFR,XPLR Infrastructure LP,917.0,48471.85,5.287,Green,Portfolio of 2520 MW renewables projects,Green,NextEra Energy Inc,849.0,,2021-10-18,60.09,2021-10-25,64.38,7.14,Completed
2021-10-07,2020,HRI,Herc Holdings Inc,1781.3,102469.0,57.5248,Brown,Rapid Equipment Rental Ltd,Neutral,,,,2021-10-01,160.77,2021-10-11,160.7,-0.05,Completed
2021-10-06,2020,SWX,Southwest Gas Holdings Inc,3298.87,360785.4,109.3663,Brown,Dominion Energy Questar Pipeline LLC,Brown,Dominion Energy Inc,1975.0,,2021-10-01,59.72,2021-10-11,56.58,-5.26,Completed
2021-10-06,2020,ARES,Ares Management Corp,2235.77,714.72,0.4453,Green,Apex Clean Energy Inc,Green,,,,2021-10-01,66.87,2021-10-11,68.72,2.77,Completed
2021-10-01,2020,CVX,Chevron Corp,94471.0,28078295.01,478.9338,Brown,American Natural Gas LLC,Brown,Mercuria Energy Trading SA,,,2021-09-27,89.64,2021-10-04,91.16,1.7,Completed
2021-09-20,2020,MTRN,Materion Corp,1176.27,39393.07,33.4897,Brown,HCS-Electronic Materials,Neutral,HC Starck Inc,380.0,,2021-09-16,68.96,2021-09-23,68.29,-0.97,Completed
2021-09-07,2020,ENB,Enbridge Inc,39087.0,6852670.0,82.1969,Brown,Moda Midstream Operating LLC,Brown,Encap Flatrock Midstream,3000.0,,2021-09-03,32.82,2021-09-10,32.63,-0.57,Completed
2021-09-02,2020,PWR,Quanta Services Inc,11202.67,233082.18,25.6389,Brown,Blattner Holding Co,Green,,2700.0,,2021-08-27,102.69,2021-09-07,114.52,11.52,Completed
2021-08-18,2020,BLK,BlackRock Inc,16205.0,4090.0,0.5499,Green,National Renewable Solutions LLC,Green,,,,2021-08-13,834.18,2021-08-23,844.19,1.2,Completed
2021-08-17,2020,WTTR,Select Water Solutions Inc,605.1,33176.65,93.8009,Brown,Agua Libre Midstream LLC,Brown,Basic Energy Services Inc,19.54,,2021-08-13,5.02,2021-08-20,5.02,-0.19,Completed
2021-08-17,2020,BRY,Berry Corp,523.83,805281.71,1537.2871,Brown,C&J Well Services Inc,Brown,Basic Energy Services Inc,,,2021-08-13,3.48,2021-08-20,3.29,-5.34,Completed
2021-08-11,2020,EXE,Expand Energy Corp,5240.0,935709.77,178.5706,Brown,Vine Energy Inc,Neutral,,1459.77,,2021-08-06,45.2,2021-08-16,45.84,1.44,Completed
2021-08-03,2020,DINO,HF Sinclair Corp,11183.64,5479000.0,489.9119,Brown,"Marketing & diesel business,2 refineries/Rocky Mountain",Neutral,Sinclair Cos/The,1783.29,,2021-07-30,26.21,2021-08-06,25.87,-1.29,Completed
2021-08-02,2020,SUN,Sunoco LP,10710.0,21545.0,5.8905,Green,Portfolio of 8 terminal locations/NuStar Energy LP,Brown,NuStar Energy LP,250.0,,2021-07-29,29.12,2021-08-05,29.27,0.52,Completed
2021-07-27,2020,SHEL,Shell PLC,180543.0,31526463.37,271.7385,Brown,Inspire Energy Capital LLC,Green,,,,2021-07-23,32.94,2021-07-30,35.33,7.26,Completed
2021-07-23,2020,DUK,Duke Energy Corp,23868.0,74985884.11,5571.7764,Brown,CNG fueling station/South Carolina,Brown,Spire Inc,,,2021-07-19,89.44,2021-07-26,90.04,0.66,Completed
2021-07-16,2020,KMI,Kinder Morgan Inc,11700.0,15600000.0,169.5854,Brown,Kinetrex Energy,Brown,Parallel49 Equity,310.0,,2021-07-12,14.79,2021-07-19,13.72,-7.24,Completed
2021-07-14,2020,ORA,Ormat Technologies Inc,705.34,140128.08,256.4417,Brown,TG Geothermal Portfolio LLC,Green,,171.0,,2021-07-09,68.05,2021-07-19,64.2,-5.66,Completed
2021-07-12,2020,WTTR,Select Water Solutions Inc,605.1,33176.65,93.8009,Brown,Complete Energy Services LLC,Neutral,Superior Energy Services Inc,36.44,,2021-07-08,5.16,2021-07-15,5.31,2.91,Completed
2021-07-09,2020,KMI,Kinder Morgan Inc,11700.0,15600000.0,169.5854,Brown,Twin Tier Pipeline LLC,Neutral,"Consolidated Edison Inc,Crestwood Equity Partners LP",30.0,,2021-07-02,14.83,2021-07-12,14.79,-0.27,Completed
