Deal Announce Date,Previous Year,Acquirer Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_10_Date,T_minus_10_Price,T_plus_10_Date,T_plus_10_Price,Market_Cap_AD_mil,ROA_percent,Acquirer_GHG_Emissions,Deal Status,Target_Classification,Acquirer_Classification,Carbon_Intensity
2017-12-12,2016,OIS,Oil States International Inc,GEODynamics Inc,"Management Group,Private Investor,Lime Rock Partners LLC (Fund: Lime Rock Partners IV LP),Lime Rock Partners LLC (Fund: Lime Rock Partners V LP)",519.22,,2017-12-01,24.9,2017-12-22,28.25,1445.2,1.51,10500.5,Completed,Neutral,Green,7.2658
2017-12-11,2016,CHRD,Chord Energy Corp,Permian Assets/Forge Energy LLC,Forge Energy LLC,946.0,,2017-11-30,6.75,2017-12-21,5.39,395.38,1.62,278103.31,Completed,Neutral,Brown,703.3823
2017-12-11,2016,GLW,Corning Inc,Communication Markets Division,3M Co,900.0,,2017-11-30,26.36,2017-12-21,26.28,22701.81,1.12,330286.14,Completed,Neutral,Brown,14.5489
2017-12-11,2016,NVAX,NOV Inc,Vallourec Drilling Products USA Inc,Vallourec SA,63.0,,2017-11-30,27.2,2017-12-21,23.0,4439.29,-7.08,339.45,Completed,Neutral,Green,0.0765
2017-12-11,2016,SEI,Solaris Energy Infrastructure,Railtronix LLC,,,,2017-11-30,12.26,2017-12-21,15.1,499.97,-0.1,330.36,Completed,Neutral,Green,0.6608
2017-12-06,2016,DUK,Duke Energy Corp,REC Solar Commercial Corp,,,,2017-11-24,65.71,2017-12-18,64.06,50753.48,0.65,97942420.64,Completed,Green,Brown,1929.7676
2017-12-05,2016,WKC,World Kinect Corp,Ondemand Energy Inc,,,,2017-11-24,24.47,2017-12-15,24.67,1397.33,-1.51,545310.24,Completed,Neutral,Brown,390.2516
2017-11-08,2016,DK,Delek US Holdings Inc,Alon USA Partners LP,,148.62,1.77,2017-10-27,20.97,2017-11-20,24.19,1425.26,-6.21,1079759.36,Completed,Neutral,Brown,757.5876
2017-11-01,2016,UGI,UGI Corp,Rockdale Marcellus Midstream Assets/Pennsylvania,Rockdale Marcellus LLC,,,2017-10-20,36.48,2017-11-13,36.65,7799.34,2.43,1688117.79,Completed,Neutral,Brown,216.4437
2017-10-31,2016,NPKI,NPK International Inc,Well Service Group Inc,,75.0,,2017-10-20,9.45,2017-11-10,9.65,757.35,-44.74,7918.6,Completed,Neutral,Brown,10.4557
